"키값","약국이름","행정시","행정구","행정동","전화번호"
"BE_LiST22-0441","Seocho Samseong Pharmacy","Seoul","Seocho-gu","Seocho2-dong","02-3474-0617"
"BE_LiST22-0442","Star Pharmacy","Seoul","Seocho-gu","Seocho4-dong","02-3481-6688"
"BE_LiST22-0443","Sadang No. 13 Pharmacy","Seoul","Seocho-gu","Bangbae2-dong","02-585-2113"
"BE_LiST22-0444","City Pharmacy","Seoul","Seocho-gu","Bangbae1-dong","02-581-0075"
"BE_LiST22-0445","Good Morning Pharmacy","Seoul","Seocho-gu","Banpo4-dong","02-6282-1213"
"BE_LiST22-0446","Dasarang Pharmacy","Seoul","Seocho-gu","Seocho2-dong","02-581-5773"
"BE_LiST22-0447","Sinuseong Pharmacy","Seoul","Seocho-gu","Seocho2-dong","02-536-3174"
"BE_LiST22-0448","Gyodae Sarang Pharmacy","Seoul","Seocho-gu","Seocho4-dong","02-3477-0312"
"BE_LiST22-0449","Point Pharmacy","Seoul","Gangnam-gu","Nonhyeon1-dong","547-3196"
"BE_LiST22-0450","Somang Onnuri Pharmacy","Seoul","Gangnam-gu","Nonhyeon2-dong","534-1287"
"BE_LiST22-0451","Medipham Mirae Pharmacy","Seoul","Gangnam-gu","Nonhyeon1-dong","547-4340"
"BE_LiST22-0452","Mi Plus Pharmacy","Seoul","Gangnam-gu","Nonhyeon1-dong","517-2513"
"BE_LiST22-0453","Panax Pharmacy","Seoul","Gangnam-gu","Nonhyeon1-dong","518-8766"
"BE_LiST22-0454","Jeil Grand Pharmacy","Seoul","Gangnam-gu","Nonhyeon1-dong","546-0093"
"BE_LiST22-0455","Minsaeng Pharmacy","Seoul","Gangnam-gu","Nonhyeon2-dong","547-7903"
"BE_LiST22-0456","Seoul Medi Pharmacy","Seoul","Gangnam-gu","Daechi4-dong","501-5063"
"BE_LiST22-0457","Dongseong Pharmacy","Seoul","Gangnam-gu","Daechi2-dong","566-3728"
"BE_LiST22-0458","Onnuri Guindang Pharmacy","Seoul","Gangnam-gu","Daechi2-dong","552-5550"
"BE_LiST22-0459","Hwail Pharmacy","Seoul","Gangnam-gu","Daechi4-dong","362-8631,2"
"BE_LiST22-0340","Gaggaun Onnuri Pharmacy","Seoul","Yangcheon-gu","Sinjeong6-dong","2650-8828"
"BE_LiST22-0341","Naeoe Pharmacy","Seoul","Yangcheon-gu","Sinwol4-dong","2697-5065"
"BE_LiST22-0193","Sarangui Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","922-7111"
"BE_LiST22-0194","Samseong Pharmacy","Seoul","Seongbuk-gu","Donam1-dong","929-3069"
"BE_LiST22-0195","Jungang Plaza Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","927-5606"
"BE_LiST22-0196","Sipjaseong Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","966-0710"
"BE_LiST22-0197","Gyesan Onnuri Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","925-4551"
"BE_LiST22-0198","Segi Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","3292-1224"
"BE_LiST22-0199","Jangwi Seongmo Pharmacy","Seoul","Seongbuk-gu","Jangwi2-dong","913-7516"
"BE_LiST22-0200","Cham Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","922-9458"
"BE_LiST22-0201","Keunsarang Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","922-9721"
"BE_LiST22-0202","Namsan Pharmacy","Seoul","Seongbuk-gu","Jangwi2-dong","911-1224"
"BE_LiST22-0203","Hanmi Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","925-0825"
"BE_LiST22-0204","Optima e-Pyeonhan Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","909-3525"
"BE_LiST22-0205","Songwon Onnuri Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","915-3500"
"BE_LiST22-0206","Wolgok Uri Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","917-7400"
"BE_LiST22-0207","W Store Achimeulyeoneun Haessal Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","762-0234"
"BE_LiST22-0208","Seohyeon Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","3292-0999"
"BE_LiST22-0209","Herb Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","913-6786"
"BE_LiST22-0210","Joa Pharmacy","Seoul","Seongbuk-gu","Wolgok2-dong","919-8575"
"BE_LiST22-0211","Paranhaneul Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","929-8723"
"BE_LiST22-0212","Seongbuk Noksipja Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","926-4166"
"BE_LiST22-0213","Prime Onnuri Pharmacy","Seoul","Seongbuk-gu","Jangwi3-dong","916-9472"
"BE_LiST22-0214","Samcheung Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","915-0022"
"BE_LiST22-0215","Myeongso Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","965-0237"
"BE_LiST22-0216","Minseong Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","927-6959"
"BE_LiST22-0217","Ewha Plaza Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","914-2053"
"BE_LiST22-0218","Duri Onnuri Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","923-0450"
"BE_LiST22-0219","Seongbuk Worldpham Pharmacy","Seoul","Seongbuk-gu","Jangwi2-dong","918-7972"
"BE_LiST22-0220","Wolgok Bogeon Pharmacy","Seoul","Seongbuk-gu","Wolgok2-dong","909-8144"
"BE_LiST22-0221","Koggiri Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","909-0555"
"BE_LiST22-0222","Wellpham Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","914-7773"
"BE_LiST22-0223","Seoul Pharmacy","Seoul","Seongbuk-gu","Donam1-dong","924-5191"
"BE_LiST22-0224","Medipham Baek Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","912-6200"
"BE_LiST22-0225","Sinjungang Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","943-8331"
"BE_LiST22-0226","Star Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","070-4257-5277"
"BE_LiST22-0227","Pureun Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","969-0566"
"BE_LiST22-0228","Eunhye Pharmacy","Seoul","Seongbuk-gu","Jongam-dong","926-1122"
"BE_LiST22-0229","Ewha Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","911-4326"
"BE_LiST22-0230","Gilleumsijang Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","070-4402-4565"
"BE_LiST22-0231","Jihye Pharmacy","Seoul","Seongbuk-gu","Jangwi3-dong","070-7648-9731"
"BE_LiST22-0232","Misodam Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","6349-2589"
"BE_LiST22-0233","Seongsin Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","921-9971"
"BE_LiST22-0234","Gil Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","923-9994"
"BE_LiST22-0235","Sinjeongneung Uri Pharmacy","Seoul","Seongbuk-gu","Jeongneung2-dong","942-8831"
"BE_LiST22-0236","Yeongjun Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","912-4813"
"BE_LiST22-0237","Geumgang Pharmacy","Seoul","Seongbuk-gu","Anam-dong","924-7575"
"BE_LiST22-0238","Segyero Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","962-5446"
"BE_LiST22-0239","Hosu Onnuri Pharmacy","Seoul","Seongbuk-gu","Gireum2-dong","988-8979"
"BE_LiST22-0240","Haengbokhan Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","927-8253"
"BE_LiST22-0241","Bareun Onnuri Pharmacy","Seoul","Seongbuk-gu","Samseon-dong","942-4750"
"BE_LiST22-0242","Deokseong Onnuri Pharmacy","Seoul","Seongbuk-gu","Donam2-dong","922-0555"
"BE_LiST22-0243","Sinheung Pharmacy","Seoul","Seongbuk-gu","Jeongneung4-dong","914-4103"
"BE_LiST22-0244","365 Pharmacy","Seoul","Seongbuk-gu","Gireum2-dong","985-1365"
"BE_LiST22-0245","Sarangbanneun Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","943-2385"
"BE_LiST22-0246","New Daewon Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","963-0792"
"BE_LiST22-0247","Yumin Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","929-8937"
"BE_LiST22-0248","Uju Onnuri Pharmacy","Seoul","Seongbuk-gu","Dongseon-dong","922-0544"
"BE_LiST22-0249","Cheongchunhan Pharmacy","Seoul","Seongbuk-gu","Jeongneung1-dong","6467-9595"
"BE_LiST22-0250","Saegungmin Pharmacy","Seoul","Seongbuk-gu","Wolgok2-dong","909-3463"
"BE_LiST22-0251","Samseong Pharmacy","Seoul","Seongbuk-gu","Donam1-dong","929-3069"
"BE_LiST22-0252","Areumdaun Pharmacy","Seoul","Seongbuk-gu","Gireum1-dong","912-5148"
"BE_LiST22-0253","Dongmin Pharmacy","Seoul","Seongbuk-gu","Wolgok1-dong","6925-0008"
"BE_LiST22-0254","Jeongmun Pharmacy","Seoul","Seongbuk-gu","Anam-dong","924-2121"
"BE_LiST22-0255","Dolgoji Onnuri Pharmacy","Seoul","Seongbuk-gu","Seokgwan-dong","967-5555"
"BE_LiST22-0256","Saebogeon Pharmacy","Seoul","Seongbuk-gu","Wolgok2-dong","911-7111"
"BE_LiST22-0257","Neulpureun Pyeonggang Pharmacy","Seoul","Gangbuk-gu","Suyu3-dong","02-903-5022"
"BE_LiST22-0258","Danaeul Pharmacy","Seoul","Gangbuk-gu","Suyu3-dong","02-900-3133"
"BE_LiST22-0259","Donga Pharmacy","Seoul","Gangbuk-gu","Songjung-dong","02-985-1448"
"BE_LiST22-0260","Beondong Jongno Pharmacy","Seoul","Gangbuk-gu","Beon3-dong","02-981-2030"
"BE_LiST22-0261","Segyero Pharmacy","Seoul","Gangbuk-gu","Suyu1-dong","02-985-0503"
"BE_LiST22-0262","Suyu Sangnoksu Pharmacy","Seoul","Gangbuk-gu","Beon1-dong","02-900-7722"
"BE_LiST22-0263","Eo Pharmacy","Seoul","Gangbuk-gu","Suyu3-dong","02-902-5119"
"BE_LiST22-0264","Evergreen Pharmacy","Seoul","Gangbuk-gu","Beon1-dong","02-999-7101"
"BE_LiST22-0265","Iwon Pharmacy","Seoul","Gangbuk-gu","Samyang-dong","02-946-1958"
"BE_LiST22-0266","Insu Pharmacy","Seoul","Gangbuk-gu","Insu-dong","02-993-7378"
"BE_LiST22-0267","Jeonghae Pharmacy","Seoul","Gangbuk-gu","Suyu2-dong","02-902-1442"
"BE_LiST22-0268","Jeil Pharmacy","Seoul","Gangbuk-gu","Beon1-dong","02-592-4920"
"BE_LiST22-0269","Jiyeong Pharmacy","Seoul","Gangbuk-gu","Insu-dong","02-902-1072"
"BE_LiST22-0270","Hansarang Onnuri Pharmacy","Seoul","Gangbuk-gu","Suyu1-dong","02-980-1214"
"BE_LiST22-0271","Haessal Pharmacy","Seoul","Gangbuk-gu","Mia-dong","02-987-5159"
"BE_LiST22-0272","Nokwondang Pharmacy","Seoul","Gangbuk-gu","Beon3-dong","02-989-8315"
"BE_LiST22-0273","Hanyang Pharmacy","Seoul","Gangbuk-gu","Insu-dong","02-902-2470"
"BE_LiST22-0274","Urideul Pharmacy","Seoul","Gangbuk-gu","Beon3-dong","02-981-7577"
"BE_LiST22-0275","Jongno Taepyeongyang Pharmacy","Seoul","Gangbuk-gu","Songjung-dong","02-985-0393"
"BE_LiST22-0276","Medipham Geongang ","Seoul","Dobong-gu","Ssangmun3-dong","906-1800"
"BE_LiST22-0277","Pham Korea ","Seoul","Dobong-gu","Dobong1-dong","955-7017"
"BE_LiST22-0278","Daehan ","Seoul","Dobong-gu","Ssangmun1-dong","999-7896"
"BE_LiST22-0279","Yeonghun ","Seoul","Dobong-gu","Chang3-dong","900-3943"
"BE_LiST22-0280","New Jimyeong ","Seoul","Dobong-gu","Chang3-dong","993-2082"
"BE_LiST22-0281","Sinseong ","Seoul","Dobong-gu","Banghak3-dong","3491-0731"
"BE_LiST22-0282","Sangnoksu Onnuri ","Seoul","Dobong-gu","Banghak2-dong","954-2950"
"BE_LiST22-0283","Gwangjang","Seoul","Dobong-gu","Chang4-dong","990-6527"
"BE_LiST22-0284","Hyemin","Seoul","Dobong-gu","Dobong1-dong","954-1653"
"BE_LiST22-0010","Dongseo Pharmacy","Seoul","Jongno-gu","Jongno5.6ga-dong","2266-8911"
"BE_LiST22-0011","Donga Pharmacy","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","2285-5702"
"BE_LiST22-0012","Dongin Pharmacy","Seoul","Jongno-gu","Changsin2-dong","743-7371"
"BE_LiST22-0013","Medical Seoul Pharmacy","Seoul","Jongno-gu","Hyehwa-dong","766-9000"
"BE_LiST22-0014","Mideum Pharmacy","Seoul","Jongno-gu","Changsin1-dong","745-6678"
"BE_LiST22-0015","Bogwang Pharmacy","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","762-2515"
"BE_LiST22-0016","Boram Pharmacy","Seoul","Jongno-gu","Changsin1-dong","743-7915"
"BE_LiST22-0017","Boryeong Pharmacy","Seoul","Jongno-gu","Jongno5.6ga-dong","763-8181"
"BE_LiST22-0018","Samjeong Baro Pharmacy","Seoul","Jongno-gu","Gyonam-dong","736-3385"
"BE_LiST22-0019","Jongno Jeil Pharmacy","Seoul","Jongno-gu","Jongno5.6ga-dong","3672-8558"
"BE_LiST22-0020","Saehyundae Pharmacy","Seoul","Jongno-gu","Sajik-dong","720-5662"
"BE_LiST22-0021","Seoul Jongno Pharmacy","Seoul","Jongno-gu","Hyehwa-dong","3676-1400"
"BE_LiST22-0022","Seongsim Pharmacy","Seoul","Jongno-gu","Changsin1-dong","743-2062"
"BE_LiST22-0023","Seongjin Pharmacy","Seoul","Jongno-gu","Hyehwa-dong","762-2211"
"BE_LiST22-0024","Sungin Pharmacy","Seoul","Jongno-gu","Sungin2-dong","929-0754"
"BE_LiST22-0025","Sungin Damoa Pharmacy","Seoul","Jongno-gu","Sungin1-dong","765-5885"
"BE_LiST22-0026","Simin Pharmacy","Seoul","Jongno-gu","Sajik-dong","736-6512"
"BE_LiST22-0027","Yeollin Pharmacy","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","2264-8211"
"BE_LiST22-0028","Inje Pharmacy","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","2266-4312"
"BE_LiST22-0029","Jeongmun Pharmacy","Seoul","Jongno-gu","Jongno1.2.3.4ga-dong","765-7200"
"BE_LiST22-0030","Jesin Pharmacy","Seoul","Jongno-gu","Jongno5.6ga-dong","2279-7388"
"BE_LiST22-0031","Jonggeundang Pharmacy","Seoul","Jongno-gu","Jongno5.6ga-dong","2274-1311"
"BE_LiST22-0032","Jongno Baekje Pharmacy","Seoul","Jongno-gu","Jongno5.6ga-dong","745-8492"
"BE_LiST22-0033","Jongno Plaza Pharmacy","Seoul","Jongno-gu","Cheongunhyoja-dong","736-0806"
"BE_LiST22-0034","Chungsin Pharmacy","Seoul","Jongno-gu","Jongno5.6ga-dong","762-9909"
"BE_LiST22-0035","Handok Pharmacy","Seoul","Jongno-gu","Ihwa-dong","762-4636"
"BE_LiST22-0036","Hamchun Pharmacy","Seoul","Jongno-gu","Ihwa-dong","741-0370"
"BE_LiST22-0037","Saegye Pharmacy","Seoul","Jung-gu","Sogong-dong","776-8000"
"BE_LiST22-0038","Seoul Pharmacy","Seoul","Jung-gu","Myeong-dong","737-2636"
"BE_LiST22-0039","Baekjo Pharmacy","Seoul","Jung-gu","Myeong-dong","738-8808"
"BE_LiST22-0040","Inu Pharmacy","Seoul","Jung-gu","Jungnim-dong","392-7291"
"BE_LiST22-0041","Namsi Pharmacy","Seoul","Jung-gu","Sogong-dong","753-7466"
"BE_LiST22-0042","Huigu Pharmacy","Seoul","Jung-gu","Hoehyeon-dong","752-0229"
"BE_LiST22-0043","Saesamseong Pharmacy","Seoul","Jung-gu","Sogong-dong","756-3301"
"BE_LiST22-0044","Seoul Wang Pharmacy","Seoul","Jung-gu","Sogong-dong","3789-7048"
"BE_LiST22-0045","Namsan Uri Pharmacy","Seoul","Jung-gu","Hoehyeon-dong","3789-7582"
"BE_LiST22-0046","Daeusa Pharmacy","Seoul","Jung-gu","Hoehyeon-dong","753-2703"
"BE_LiST22-0047","Sinusin Pharmacy","Seoul","Jung-gu","Hoehyeon-dong","752-9086"
"BE_LiST22-0048","Centural Pham Pharmacy","Seoul","Yongsan-gu","Namyeong-dong","393-5505"
"BE_LiST22-0049","Saewon Pharmacy","Seoul","Jung-gu","Myeong-dong","776-4476"
"BE_LiST22-0050","Yeonhap Pharmacy","Seoul","Jung-gu","Myeong-dong","778-3451"
"BE_LiST22-0051","Saechungmu Pharmacy","Seoul","Jung-gu","Myeong-dong","776-4820"
"BE_LiST22-0052","Pureun Pharmacy","Seoul","Jung-gu","Myeong-dong","775-7428"
"BE_LiST22-0053","Unesco Pharmacy","Seoul","Jung-gu","Myeong-dong","778-7880"
"BE_LiST22-0054","Myeongdong Jungang Pharmacy","Seoul","Jung-gu","Myeong-dong","777-0505"
"BE_LiST22-0055","Myeongdong Sarang Pharmacy","Seoul","Jung-gu","Myeong-dong","778-9975"
"BE_LiST22-0056","Oseong Pharmacy","Seoul","Jung-gu","Gwanghui-dong","2279-5500"
"BE_LiST22-0057","Seonggyun Jeil Pharmacy","Seoul","Jung-gu","Pil-dong","2269-6872"
"BE_LiST22-0058","Sinseong Pharmacy","Seoul","Jung-gu","Donghwa-dong","2273-1390"
"BE_LiST22-0059","Hana Pharmacy","Seoul","Jung-gu","Myeong-dong","755-5155"
"BE_LiST22-0060","Eulji Su Pharmacy","Seoul","Jung-gu","Euljiro-dong","2275-2113"
"BE_LiST22-0061","Pil Pharmacy","Seoul","Jung-gu","Pil-dong","2268-7552"
"BE_LiST22-0062","Jiha Geunhwasa Pharmacy","Seoul","Jung-gu","Euljiro-dong","2272-4986"
"BE_LiST22-0063","Jangsu Pharmacy","Seoul","Jung-gu","Sindang5-dong","2252-2929"
"BE_LiST22-0064","Silla Pharmacy","Seoul","Jung-gu","Myeong-dong","777-4826"
"BE_LiST22-0065","Bosaengdang Pharmacy","Seoul","Jung-gu","Pil-dong","2267-8830"
"BE_LiST22-0066","Wangran Pharmacy","Seoul","Jung-gu","Gwanghui-dong","2267-1492"
"BE_LiST22-0067","Medipham Choi Pharmacy","Seoul","Yongsan-gu","Cheongpa-dong","715-6009"
"BE_LiST22-0068","Myeongjindang Pharmacy","Seoul","Yongsan-gu","Cheongpa-dong","717-5603"
"BE_LiST22-0069","Somyeong Pharmacy","Seoul","Yongsan-gu","Itaewon1-dong","795-9954"
"BE_LiST22-0070","Jeon Pharmacy","Seoul","Yongsan-gu","Wonhyoro2-dong","979-9834"
"BE_LiST22-0071","Jongno Plaza Pharmacy","Seoul","Yongsan-gu","Hangangno-dong","2012-1276"
"BE_LiST22-0072","Jeil Pharmacy","Seoul","Yongsan-gu","Hannam-dong","792-8422"
"BE_LiST22-0073","Hyundae Onnuri Pharmacy","Seoul","Yongsan-gu","Ichon1-dong","795-9842"
"BE_LiST22-0074","Uri Pharmacy","Seoul","Yongsan-gu","Hangangno-dong","2012-1507"
"BE_LiST22-0075","Gajangkeun Taepyeongyang Pharmacy","Seoul","Yongsan-gu","Hannam-dong","790-3376"
"BE_LiST22-0076","Gonghang Pharmacy","Seoul","Yongsan-gu","Namyeong-dong","313-2780"
"BE_LiST22-0077","Su Pharmacy","Seoul","Yongsan-gu","Hyochang-dong","701-8224"
"BE_LiST22-0078","Ichon Plaza Pharmacy","Seoul","Yongsan-gu","Ichon1-dong","749-8686"
"BE_LiST22-0079","Wonhyo Pharmacy","Seoul","Yongsan-gu","Wonhyoro1-dong","6407-7234"
"BE_LiST22-0080","Hi Pharmacy","Seoul","Yongsan-gu","Namyeong-dong","070-4122-1004"
"BE_LiST22-0081","Geumbo Pharmacy","Seoul","Yongsan-gu","Wonhyoro2-dong","718-3673"
"BE_LiST22-0082","Balgeunnuri Pharmacy","Seoul","Yongsan-gu","Itaewon1-dong","792-2621"
"BE_LiST22-0083","Dongbu Pharmacy","Seoul","Yongsan-gu","Ichon1-dong","795-6242"
"BE_LiST22-0084","Singeumho Pharmacy","Seoul","Seongdong-gu","Guemho1ga-dong","2282-5230"
"BE_LiST22-0085","Pyeongan Pharmacy","Seoul","Seongdong-gu","Haengdang1-dong","2294-8111"
"BE_LiST22-0086","Daehak Pharmacy","Seoul","Seongdong-gu","Sageun-dong","2293-0554"
"BE_LiST22-0087","Iljin Pharmacy","Seoul","Seongdong-gu","Yongdap-dong","2245-3665"
"BE_LiST22-0088","Yeongmin Pharmacy","Seoul","Seongdong-gu","Seongsu2ga3-dong","466-1377"
"BE_LiST22-0089","Danaeul Pharmacy","Seoul","Seongdong-gu","Guemho2.3ga-dong","2231-1703"
"BE_LiST22-0090","Girin Pharmacy","Seoul","Seongdong-gu","Oksu-dong","2299-8850"
"BE_LiST22-0091","Umyeonghan Pharmacy","Seoul","Seongdong-gu","Guemho2.3ga-dong","2238-9268"
"BE_LiST22-0092","Daejung Pharmacy","Seoul","Seongdong-gu","Wangsimni2-dong","2292-4418"
"BE_LiST22-0093","Medipham Hansol Pharmacy","Seoul","Seongdong-gu","Haengdang2-dong","2282-7948"
"BE_LiST22-0094","Myeongdong Onnuri Pharmacy","Seoul","Seongdong-gu","Haengdang1-dong","2281-7292"
"BE_LiST22-0095","Hyemin Pharmacy","Seoul","Seongdong-gu","Sageun-dong","2293-2729"
"BE_LiST22-0096","Jeongmin Pharmacy","Seoul","Seongdong-gu","Yongdap-dong","2212-8762"
"BE_LiST22-0097","Jeil Pharmacy","Seoul","Seongdong-gu","Eungbong-dong","2293-6946"
"BE_LiST22-0098","Gunae Pharmacy","Seoul","Gwangjin-gu","Gwangjang-dong","02-450-4759"
"BE_LiST22-0099","Cheonsa Pharmacy","Seoul","Gwangjin-gu","Junggok3-dong","02-463-9380"
"BE_LiST22-0100","Dongseoul Pharmacy","Seoul","Gwangjin-gu","Guui3-dong","02-452-0015"
"BE_LiST22-0101","Samseong M Pharmacy","Seoul","Dongdaemun-gu","Cheongnyangni-dong","967-3315"
"BE_LiST22-0460","Gangnam Boseon Pharmacy","Seoul","Gangnam-gu","Daechi2-dong","568-2310"
"BE_LiST22-0461","Hanti Pharmacy","Seoul","Gangnam-gu","Dogok2-dong","574-2575"
"BE_LiST22-0462","Sarang Plus Pharmacy","Seoul","Gangnam-gu","Dogok2-dong","2058-2745"
"BE_LiST22-0463","Yeonu Pharmacy","Seoul","Gangnam-gu","Dogok1-dong","557-8672"
"BE_LiST22-0464","Gangnam Joeun Pharmacy","Seoul","Gangnam-gu","Dogok1-dong","571-9515"
"BE_LiST22-0465","Chamjoeun Pharmacy","Seoul","Gangnam-gu","Samseong1-dong","508-1363"
"BE_LiST22-0466","Samseong Geongang Pharmacy","Seoul","Gangnam-gu","Gaepo2-dong","517-3520"
"BE_LiST22-0467","Phammate Seonneung Sujeong Pharmacy","Seoul","Gangnam-gu","Samseong2-dong","558-8025"
"BE_LiST22-0468","Gangnam Onnuri Pharmacy","Seoul","Gangnam-gu","Samseong2-dong","572-1452"
"BE_LiST22-0469","Samseong Ilsin Pharmacy","Seoul","Gangnam-gu","Samseong2-dong","538-1018"
"BE_LiST22-0470","Somang Pharmacy","Seoul","Gangnam-gu","Samseong1-dong","555-6806"
"BE_LiST22-0471","Optima Daeyeong Pharmacy","Seoul","Gangnam-gu","Samseong1-dong","514-7850"
"BE_LiST22-0472","Suseo Pharmacy","Seoul","Gangnam-gu","Suseo-dong","459-2293"
"BE_LiST22-0473","Cosmos Pharmacy","Seoul","Gangnam-gu","Sinsa-dong","515-3555"
"BE_LiST22-0474","Ganaan Pharmacy","Seoul","Gangnam-gu","Sinsa-dong","549-8774"
"BE_LiST22-0475","Taepyeongyang Pharmacy","Seoul","Gangnam-gu","Sinsa-dong","3442-4492"
"BE_LiST22-0476","Apgujeong Mi Pharmacy","Seoul","Gangnam-gu","Sinsa-dong","548-0085"
"BE_LiST22-0477","Apgujeong Onnuri Pharmacy","Seoul","Gangnam-gu","Sinsa-dong","514-0777"
"BE_LiST22-0478","Apgujeong Plaza Onnuri Pharmacy","Seoul","Gangnam-gu","Sinsa-dong","511-3801"
"BE_LiST22-0479","Biwon Pharmacy","Seoul","Gangnam-gu","Apgujeong-dong","541-6939"
"BE_LiST22-0480","Medipham Apgujeong Pharmacy","Seoul","Gangnam-gu","Apgujeong-dong","547-7585"
"BE_LiST22-0481","Hana Pharmacy","Seoul","Gangnam-gu","Apgujeong-dong","543-6650"
"BE_LiST22-0482","Yes Pharmacy","Seoul","Gangnam-gu","Apgujeong-dong","3445-8214"
"BE_LiST22-0483","Apgujeong Neulpureun Pharmacy","Seoul","Gangnam-gu","Apgujeong-dong","516-8753"
"BE_LiST22-0484","Apgujeong Pharmacy","Seoul","Gangnam-gu","Apgujeong-dong","543-0701"
"BE_LiST22-0485","Rodeo Pharmacy","Seoul","Gangnam-gu","Apgujeong-dong","540-4091"
"BE_LiST22-0486","Bom Pharmacy","Seoul","Gangnam-gu","Apgujeong-dong","543-2251"
"BE_LiST22-0487","Ilbeonji Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","567-2501"
"BE_LiST22-0488","Chamjoeun Seon Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","3453-3501"
"BE_LiST22-0489","Atom Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","562-6575"
"BE_LiST22-0490","Samseong Hana Pharmacy","Seoul","Gangnam-gu","Samseong1-dong","569-4130"
"BE_LiST22-0491","Yeoksam Dain Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","3453-3589"
"BE_LiST22-0492","Onnuri Gibbeun Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","566-0027"
"BE_LiST22-0493","Darae Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","567-9361"
"BE_LiST22-0494","Onnuri Hyaerim Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","2112-2911"
"BE_LiST22-0495","Sinhyeseong Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","558-6338~9"
"BE_LiST22-0496","Areumdaun Uri Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","564-7582"
"BE_LiST22-0497","Well Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","6440-5656"
"BE_LiST22-0498","W Store Gangnam City Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","553-1608"
"BE_LiST22-0499","Keungil Pharmacy","Seoul","Gangnam-gu","Yeoksam1-dong","553-1517"
"BE_LiST22-0500","Mokhwa Pharmacy","Seoul","Gangnam-gu","Irwon1-dong","2226-2268"
"BE_LiST22-0501","Ilwonyeok Pharmacy","Seoul","Gangnam-gu","Irwonbon-dong","02-451-8233"
"BE_LiST22-0502","Yeollin Pharmacy","Seoul","Gangnam-gu","Irwonbon-dong","3411-1007,1009"
"BE_LiST22-0503","Saesaengmyeong Pharmacy","Seoul","Gangnam-gu","Cheongdam-dong","512-3389"
"BE_LiST22-0504","Yeongji Pharmacy","Seoul","Gangnam-gu","Cheongdam-dong","547-3443"
"BE_LiST22-0505","Geonyeong Pharmacy","Seoul","Gangnam-gu","Cheongdam-dong","541-7378"
"BE_LiST22-0506","Gaggaun Ewha Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","489-4383"
"BE_LiST22-0507","Gangnam Daehak Pharmacy","Seoul","Songpa-gu","Pungnap2-dong","473-0111"
