DATE,교환,포장,TV,고등어,곰팡이,구두,노트북,라면,초밥,스팸,연어,신사복,카페,식당,운동복,핸드폰,프린터,세탁기,탁자,장롱
2016-10-30,20,15,15,14,5,2,9,4,0,3,13,0,0,9,20,6,14,22,41,46
2016-10-31,6,7,16,12,19,7,16,11,15,3,12,15,4,20,1,18,9,39,49,41
2016-11-01,12,20,10,15,10,18,0,15,4,2,0,14,8,9,4,18,14,20,58,37
2016-11-02,0,8,18,0,14,18,0,11,15,16,4,10,12,19,10,13,9,41,32,23
2016-11-03,16,9,18,11,8,20,19,2,7,14,15,1,7,2,3,19,4,43,47,52
2016-11-04,12,3,17,14,13,14,14,17,5,2,1,4,20,15,8,0,17,28,44,29
2016-11-05,6,10,9,13,16,4,20,1,9,20,18,7,6,9,2,1,1,40,36,32
2016-11-06,5,10,18,20,13,19,9,11,7,1,13,16,8,6,5,13,15,41,58,59
2016-11-07,9,17,14,15,10,18,9,7,12,14,14,7,11,18,16,6,0,29,41,20
2016-11-08,7,7,12,19,20,17,5,8,6,3,11,8,16,2,3,1,8,33,56,45
2016-11-09,2,11,0,1,0,3,13,0,9,11,2,8,12,11,20,9,0,54,22,58
2016-11-10,8,5,4,7,20,4,17,9,6,10,16,13,20,11,9,0,15,58,50,47
2016-11-11,7,13,18,10,0,20,11,0,12,10,9,13,7,3,16,2,18,47,29,26
2016-11-12,14,3,4,20,11,0,11,1,9,0,20,2,15,4,9,9,12,47,54,49
2016-11-13,18,13,10,14,17,2,20,1,14,20,16,3,19,5,2,14,3,60,20,20
2016-11-14,18,10,3,14,1,2,19,5,17,0,12,13,13,10,11,10,12,22,38,27
