sex,edu,house_type,Income,exp_house,exp_con,exp_non,noofhousehold,weight
2,3,3,2236015,1643158,1421458,221700,2,938.42
1,3,3,2236118,2534852,1321390,1213462,2,1397.38
1,3,3,223761,1300777,1072118,228659,2,3593.62
1,6,3,2237840,1529328,1304361,224967,3,334.81
1,3,3,2238335,1355001,1276636,78365,3,2480.18
1,4,3,223939,482706,345637,137068,1,3216.9
1,4,3,2241034,1933577,1383821,549756,2,257.95
2,4,3,2243333,1393662,1098202,295460,2,548.12
2,2,3,2243706,2044639,1851876,192764,2,609.18
2,3,3,2246176,1950674,1315981,634693,1,5498.18
2,2,3,2249040,2377816,2040039,337778,2,194.75
1,3,3,2251493,2115241,1732512,382729,3,1065.99
2,2,3,2251544,2497932,2317219,180714,5,1094.83
1,3,3,2251799,2373417,2023567,349850,2,2079.64
1,1,3,2256216,2441978,2260404,181573,3,2303.29
2,5,3,2257488,1321537,1072212,249325,3,907.86
2,4,3,2264018,1748604,1564639,183965,3,781.38
1,2,3,2264984,2030691,1743862,286829,3,3470.52
2,3,3,2269930,1419965,1074166,345800,4,1337.6
1,1,3,2270638,4747468,3810965,936503,2,925.42
2,3,3,2272752,2485105,1330650,1154455,3,714.07
1,1,3,2272916,2309309,1570542,738767,3,547.98
2,3,3,227368,284392,259094,25298,1,719.49
2,4,3,2276000,1939720,1567520,372200,5,351.83
1,4,3,2276444,2962641,2182007,780634,2,1205.8
2,5,3,2277589,2116967,1811218,305749,2,2603.39
1,4,3,2279872,1588908,1113913,474995,1,2766.88
2,3,3,2280902,1935305,1617856,317448,2,855.22
1,6,3,2282396,1881875,1675052,206824,4,1482.45
1,5,3,2285144,1334405,1065906,268500,2,1465.83
2,5,3,228661,208225,166209,42016,2,1033.36
1,4,3,2287949,2236961,2003202,233759,4,3575.66
1,4,3,2289787,2997627,2627652,369975,4,1420.44
1,2,3,2292192,2591273,2223972,367300,3,986.66
1,1,3,2293661,1386074,717493,668581,2,464.09
1,6,3,2295868,1428641,688126,740515,1,359.09
2,5,3,2296188,1856928,1169321,687607,2,432.37
1,3,3,2296550,2826225,2399355,426870,3,176.36
1,4,3,2296550,2901124,2742774,158350,4,1265.24
1,2,3,2299560,2379459,2128312,251147,2,1093.75
2,4,3,2299957,1572283,1217329,354955,2,4322.18
2,5,3,2300000,945690,696690,249000,1,568.98
1,4,3,2300588,1704461,1578323,126138,4,730.09
2,5,3,2304622,2659101,2131571,527531,3,130.69
2,3,3,2309153,3576895,3029854,547041,1,3015.39
1,5,3,2310484,1213081,851936,361145,2,1788.21
1,2,3,2310582,2583206,1997437,585769,3,1011.77
2,5,3,2310963,1989754,1415372,574382,2,403.49
1,1,3,2317177,1708546,1048109,660437,1,459.16
2,3,3,2317808,2821792,2394610,427182,3,1017.01
2,6,3,2320000,2241710,2177190,64520,4,197.91
2,4,3,2324996,2939350,2302312,637039,4,271.96
2,2,3,2325551,2312355,2000600,311755,4,1516.95
1,5,3,2326524,3411172,2985244,425927,4,2810.5
2,3,3,2327386,2666127,2476626,189500,4,1241.71
1,5,3,2329432,1900744,1566480,334264,3,3145.96
2,4,3,2330179,2614560,2289530,325030,4,154.5
2,3,3,233280,1096934,1056233,40701,1,795.23
2,4,3,2333017,1710429,1513780,196649,3,1107.5
1,3,3,2333645,1504812,1475373,29439,2,224.62
2,5,3,233661,622968,535775,87193,1,1508.03
1,1,3,2337703,2257420,1961814,295606,5,2479.95
2,3,3,2340482,1578040,1156531,421509,2,746.09
1,6,3,2341596,1185526,1092017,93509,1,2652.22
2,5,3,2342827,2263782,1854998,408785,4,1224.52
1,5,3,2343639,1870018,1350638,519380,2,1077.75
1,1,3,2344000,1927250,1669116,258134,4,60.56
1,2,3,2344900,2165735,1749435,416300,2,112.77
2,1,3,2346506,2052700,1853020,199680,5,780.44
2,4,3,2347691,1915110,1566510,348600,1,716.49
1,5,3,2349661,1824573,1447592,376981,5,1274.15
2,3,3,2354429,1560387,1153549,406839,2,190.74
1,2,3,2357385,2018049,1378857,639192,3,1315.63
2,3,3,2362797,1636967,1348360,288607,1,1270.82
1,5,3,2363209,1196440,1059308,137132,2,1709.66
2,2,3,2364858,2304311,2282794,21517,2,1006.36
2,3,3,2365069,1563916,1126199,437717,2,1141.03
2,2,3,2366470,1385293,989310,395983,1,3436.34
2,1,3,2369481,1664461,1412321,252139,3,1024.81
1,1,3,2369810,1306467,864087,442381,2,315.59
2,3,3,2371370,2154455,1893547,260908,4,3111.47
1,1,3,2379964,1679309,1445487,233822,2,682.12
2,3,3,2380288,1860559,1453215,407344,3,2156.47
1,5,3,2380800,926679,884579,42100,2,1319.67
1,5,3,2382718,2712918,2009482,703436,2,1185.13
1,1,3,2383015,1763274,1444127,319147,3,949.79
2,1,3,2392461,2318165,1962751,355414,5,1667.12
2,5,3,2392489,1828743,1542385,286357,3,1127.45
1,1,3,239258,328891,303433,25457,2,2484.37
1,5,3,2392681,2149386,1658579,490808,2,587.03
1,5,3,2392702,2177191,1944047,233144,5,1313.32
1,6,3,2396320,3863680,2581680,1282000,2,92.62
1,1,3,2397318,1857388,1676930,180459,3,448.98
1,3,3,2399451,2288849,1012919,1275930,1,800.62
2,3,3,2399827,2170159,1795780,374379,1,3388.61
2,3,3,240000,1819990,1781990,38000,2,144.73
1,6,3,2400000,2054881,1735448,319433,3,582.2
2,2,3,2402766,2288973,1916485,372488,4,3076.13
2,1,3,2409360,2282128,1752230,529899,4,2531.58
2,1,3,2409665,1623654,1499194,124459,4,1172.2
1,3,3,241085,658732,534560,124171,2,402.93
1,1,3,2413511,1343230,1057672,285558,2,890.1
1,5,3,2416795,2315024,2051320,263704,3,555.66
2,3,3,2418379,2595591,1873348,722242,4,974.51
1,4,3,2419190,10559024,9402877,1156147,4,247.16
1,2,3,2421320,1917376,1411443,505933,3,131.99
2,4,3,2421670,2551449,1880387,671062,3,897.96
1,4,3,2422705,1654027,1101494,552533,2,4201.66
2,6,3,2423249,2426384,2115047,311338,4,2780.08
2,4,3,2423878,2190215,1900177,290038,3,2850.05
1,3,3,2424388,1968758,1641007,327751,3,168.73
1,3,3,2424574,3695766,3104406,591360,3,311.08
2,4,3,2425124,6971944,3499384,3472560,2,227.09
1,2,3,2426460,2443338,2171601,271737,4,433.34
1,4,3,2427080,3151202,2876579,274623,4,2810.64
2,5,3,2427170,2607224,1876413,730811,4,1273.91
1,1,3,2428244,1405959,1327747,78212,2,2252.9
1,5,3,2428314,3137234,2208396,928838,4,2071.32
2,4,3,2429340,1022071,788544,233527,1,3788.64
1,2,3,2436791,2269362,1666581,602781,2,1217.27
1,4,3,2437186,2083916,2003676,80240,4,247.73
1,1,3,2438396,1708248,1550941,157307,2,1850.91
1,2,3,244001,1325114,1260648,64466,1,1489.99
1,4,3,2444850,1627235,1511713,115522,2,197.91
2,1,3,244600,615464,615464,0,1,456.09
1,4,3,2449436,2985413,2672394,313019,2,293.49
1,1,3,2451598,1720933,1345564,375369,2,395.37
2,4,3,2453272,1519748,1297540,222209,3,507.71
1,4,3,2455843,1699564,1130811,568753,2,327.05
1,4,3,2462530,1433175,1159045,274130,3,87.73
1,3,3,2466129,2526989,2416742,110246,3,565.4
1,3,3,2467093,1557693,1468804,88889,3,769.66
1,4,3,2469773,1547861,1360381,187480,2,82.12
2,2,3,2471837,2172603,1990898,181705,1,971.2
2,4,3,2471925,832964,680350,152614,1,3103.69
1,4,3,2473245,2606605,2252074,354531,1,1653.9
1,1,3,2480114,3303581,1803940,1499641,2,1460.99
2,5,3,248176,685124,673624,11500,1,1234.75
1,5,3,2483203,2178435,1494626,683809,2,437.82
1,2,3,2483774,2573870,1643169,930700,4,301.68
2,4,3,2487403,2039706,1634105,405601,4,532.12
1,6,3,2487647,1404322,1188823,215500,2,994.33
2,2,3,2488785,2594751,1660190,934562,2,3111.7
2,1,3,2489193,2467656,1853994,613662,2,1277.33
2,2,3,2490860,1772541,1397081,375460,3,109.06
1,4,3,2491663,2019289,1928415,90875,2,1048.02
2,5,3,2492253,1611746,1457441,154305,2,1949.93
2,5,3,2493945,3964843,3464744,500100,2,1166.08
1,2,3,2494563,2080426,1467054,613372,3,5139.13
1,6,3,249587,410360,357983,52378,1,854.04
1,6,3,2497505,1008846,718418,290428,1,1332.09
1,3,3,2500000,951157,762695,188462,2,656.17
1,5,3,2500000,2036495,1562145,474350,4,139.47
1,5,3,2500000,2193795,1562784,631011,1,129.57
2,4,3,2500000,2362550,2049518,313032,3,1971.53
2,4,3,2500299,2014953,1674777,340176,2,572.1
1,2,3,2501089,2656977,2418969,238008,3,1120.57
1,3,3,2502895,1963448,1586110,377338,3,764.77
1,4,3,2503908,2092674,1935471,157203,5,1299.59
2,6,3,2505442,880249,739057,141192,2,3699.25
2,4,3,2505461,1951496,1573941,377555,5,643.47
1,4,3,2510907,2383557,2063914,319643,4,1589.52
2,2,3,251125,315595,314888,707,2,1016.24
2,2,3,2511258,2723745,2188281,535464,2,1683.29
2,5,3,2514485,1254406,1171958,82448,3,1410.95
1,5,3,2515000,1823185,1169912,653272,1,6621.58
2,3,3,2516110,1810262,1509474,300788,2,911.85
2,6,3,2516171,1918827,1110876,807951,2,4260.01
2,5,3,2516549,1542746,1309815,232930,2,1576.86
1,6,3,2516744,2564445,2153389,411056,3,1772.11
1,3,3,2517113,1857649,1321750,535900,2,938.4
1,3,3,2517562,2207448,1781730,425719,3,187.47
2,3,3,2518557,1933318,1625337,307981,2,1231.09
2,4,3,2518888,2159838,2016708,143130,3,1899.57
2,6,3,2518894,2693051,2328207,364844,3,2122.12
1,5,3,2519627,1708504,1256791,451713,2,905.63
1,6,3,2520164,1734741,1431931,302810,4,2363.23
2,1,3,2521960,2134549,1584020,550529,3,2070.46
2,3,3,2522892,2802783,2060338,742446,4,998.79
2,1,3,2523033,2459088,2196367,262722,3,371.07
1,1,3,2523105,2154719,1798208,356511,4,2042.29
2,2,3,2526876,2003228,1341733,661495,3,547.98
1,5,3,2527335,2009440,1870260,139180,3,401.63
2,3,3,2527980,2372525,1783339,589185,2,483.9
2,4,3,2528541,3594305,3290099,304206,2,1646.94
1,1,3,2529657,2014543,1471581,542962,4,177.56
2,4,3,2532200,1859744,1292693,567051,3,1674.92
1,6,3,2536191,2469494,2208956,260538,4,3193.19
1,4,3,2536525,2010115,1917389,92726,3,4848.34
2,6,3,2538135,2825751,2643060,182691,5,3554.94
2,2,3,2539298,2789214,2752019,37195,2,1189.81
1,1,3,2539853,2418683,2173786,244896,4,4913.21
2,3,3,2540000,1897149,1264799,632350,3,53.04
1,5,3,2540748,1821787,1515585,306202,5,4645.46
2,5,3,2540911,2729644,2030938,698706,2,640.24
1,4,3,2542457,1186322,1003944,182378,2,603.08
1,3,3,2544233,1329251,1222320,106931,2,126.42
1,4,3,2546667,2676434,1903028,773406,2,645.48
1,3,3,2546887,2185823,1683035,502788,1,1432.81
1,5,3,2547809,2218226,2011418,206809,2,1741.33
2,2,3,2548290,2654460,2160222,494238,2,3980.34
1,5,3,2551012,1621648,1558975,62673,2,1833.87
2,1,3,2551099,1697270,1460771,236498,5,1425.76
2,5,3,2554319,1544955,1341280,203676,3,5871.85
2,4,3,2556400,2278102,1572102,706000,2,213.06
2,3,3,2556616,1913474,1298229,615246,2,1277.33
1,1,3,2558508,2950507,2736569,213938,3,1990.18
2,5,3,2559100,2255178,1972353,282825,3,899.77
2,6,3,2560998,3139404,2514322,625083,4,785.99
2,6,3,2565698,1852566,988345,864221,1,1113.73
2,2,3,2567439,1566560,1271122,295438,2,613.77
1,5,3,2568745,2591347,1879893,711455,3,771.17
1,6,3,2569160,2151062,1436522,714540,3,666.51
1,5,3,2569163,1607219,1215899,391320,2,823.05
1,6,3,2569166,2655255,1944051,711204,3,3457.09
2,4,3,2570558,2223340,2025416,197925,2,1847.79
1,6,3,2570640,1328843,1119511,209331,2,1578.82
2,2,3,2572853,4373187,2676723,1696464,4,626.21
2,1,3,2574110,2012112,1721551,290560,2,1093.75
1,2,3,2574330,2310430,2274430,36000,2,79.76
1,5,3,2575602,2112501,1848454,264047,3,570.03
1,3,3,2588330,2187192,1556275,630917,1,342.28
1,4,3,2591671,2510299,1980681,529619,2,1028.37
2,2,3,2597640,1636998,1133313,503685,1,817.04
2,5,3,2598361,2060473,1599737,460737,3,641.45
2,4,3,2599851,2019653,1900114,119539,3,1853.56
1,4,3,2600000,1728807,1415937,312870,3,313.94
2,5,3,2600491,2306230,2087948,218282,3,1899.57
1,4,3,2602357,2752689,2299103,453586,3,1192.77
1,2,3,2602764,2638882,2283440,355442,4,902.75
2,3,3,2603786,2143691,1720006,423685,4,1650.97
1,2,3,2605664,2613459,2275498,337961,3,1082.66
1,2,3,2606505,2992420,2064136,928285,3,659.77
1,4,3,2610935,1556417,1182562,373855,2,624.88
2,5,3,2610985,2612777,2244432,368345,4,1496.71
2,6,3,2612280,2299442,1739498,559944,3,2646
1,4,3,2613703,1512266,1316770,195496,3,871.67
1,3,3,2614184,3032105,2711166,320939,4,1146.54
2,5,3,2614832,2943850,2529584,414266,3,799.7
2,2,3,2614921,2216841,1819095,397746,3,3445.81
1,5,3,2617218,1330989,1200616,130373,2,495.17
2,3,3,2617706,1908724,1333539,575185,3,1797.3
1,5,3,2618987,2721825,2197337,524488,2,723.16
1,3,3,2620069,3498494,2615308,883186,4,2535.42
1,4,3,2620254,1666946,1413641,253305,3,1933.42
2,6,3,2622447,2009360,1666394,342966,3,1121.81
1,3,3,2622679,1466062,1392893,73169,4,2569.93
1,6,3,2630421,1908318,1594336,313981,2,2246.32
1,3,3,2632016,2995840,2379070,616770,4,2184.3
1,2,3,2632058,1160025,782183,377842,2,1369.41
2,2,3,263257,1979646,1485665,493980,2,627.51
1,3,3,263696,1009494,901133,108361,1,7218.53
1,2,3,2644860,2641986,2554607,87378,4,2479.24
1,3,3,2645240,2376587,1930823,445764,1,557.28
1,3,3,2645667,2432386,2132136,300250,4,1482.45
2,3,3,2646838,2839736,2326577,513159,3,1005.55
2,4,3,2647791,2902944,2504676,398268,4,1776.54
2,4,3,2648,684809,631801,53009,1,1670.73
2,2,3,2648890,3913996,3399382,514614,4,430.89
1,4,3,2650000,1918675,1096085,822590,2,213.14
2,2,3,2651523,2196670,1387985,808685,4,653.63
1,3,3,2653766,3751661,2882001,869660,3,362.44
2,1,3,2654675,1966860,1879269,87590,3,4638.85
2,4,3,265915,395326,393067,2259,1,2595.16
2,4,3,2662070,2508245,2008938,499307,2,304.06
1,2,3,2663779,2031333,1791517,239816,4,5602.38
2,3,3,2665357,2161149,1637819,523330,1,818.2
2,2,3,2665587,5355147,4715427,639719,5,1146.4
2,2,3,2665834,2172495,1714014,458481,2,1498.41
2,4,3,266721,208268,202299,5969,1,599.9
2,2,3,2670041,2600895,2079887,521009,4,1099.31
1,4,3,2670327,3434964,2353023,1081941,4,507.84
1,5,3,2670780,1743246,1506700,236547,3,311.08
1,2,3,2671941,2220311,1879563,340747,1,1668.8
1,3,3,26728973,18063319,7379516,10683802,6,4154.54
1,5,3,2673091,2541989,2216573,325416,4,5362.13
2,6,3,2673451,1807856,1658088,149768,2,3709.5
1,4,3,2676315,2698432,2400013,298419,4,2846.5
2,5,3,2676600,3231079,2774336,456743,4,324.57
1,2,3,2681510,2349490,2092020,257470,3,49.11
2,2,3,2682568,2293836,1909726,384110,4,3163.86
2,2,3,2682589,2025090,1415062,610028,2,3734.54
2,2,3,2682738,1808215,1429191,379024,2,1539.08
2,6,3,2684251,1972167,1423654,548513,3,3445.81
2,2,3,2686157,1689073,940035,749038,1,7316.65
1,3,3,2686824,2251507,1875210,376297,3,4246.75
1,3,3,2688093,1158618,983115,175503,2,1070.14
2,4,3,2692360,1039257,772303,266953,1,679.57
2,2,3,2693146,2719917,2408577,311340,2,1096.34
1,5,3,2693390,1466088,1235911,230177,3,234.43
2,3,3,2695258,2493205,2017852,475353,3,1796.99
1,5,3,2699158,1931384,1580033,351351,2,629.07
2,3,3,2700000,1839026,1257236,581790,2,113.4
1,6,3,2702583,2222236,1957979,264257,4,5631.08
1,6,3,2704283,2055424,1772924,282499,3,688.82
2,6,3,2705647,2483767,2039156,444611,4,6777.2
2,5,3,2706077,2201996,2092397,109599,4,1941.86
2,1,3,2712149,1939124,1646663,292461,3,934.39
2,3,3,2712370,1328597,992969,335629,1,340.19
1,6,3,2712625,2360984,1898726,462258,4,3335.96
2,5,3,271282,502927,431068,71859,1,845.42
2,3,3,2716729,3297961,2832437,465524,3,5908.71
1,4,3,2717936,1622648,1004165,618483,3,178.24
2,1,3,2717958,1961772,1537147,424625,3,3145.33
2,4,3,2719637,2625616,2242911,382706,4,1436.95
1,1,3,2722607,2655424,2470484,184940,2,1200.76
2,2,3,2723250,3568379,3061553,506826,4,392.27
2,2,3,2723871,2092005,1908163,183841,4,2439.82
1,3,3,2727472,3603885,2929745,674141,4,1422.82
2,4,3,2731375,2179567,1800824,378744,1,1383.06
1,4,3,2733055,2028535,1729938,298597,3,964.83
2,5,3,2739449,3114909,1767379,1347531,2,3732.66
1,6,3,2750546,1924870,1608388,316483,4,430.28
2,5,3,2751272,2206068,1671191,534878,3,553.73
1,1,3,2752199,2572065,2031235,540830,4,2696.07
1,6,3,2753677,2767960,2384335,383625,4,630.21
1,5,3,2753699,3348123,2973291,374833,4,1828.38
1,6,3,2753726,2469078,2181137,287941,4,380.62
1,2,3,2755833,2462614,2119544,343070,3,1720.5
1,2,3,2756587,2719444,2473861,245583,5,196.41
1,3,3,2763745,1514498,1393845,120653,3,1164.8
2,3,3,2763788,2242179,1741863,500317,3,1491.05
2,1,3,2765945,1651833,1248110,403722,2,778.56
2,3,3,2766886,2483436,2209922,273513,1,1500.22
2,1,3,2767128,3700379,2910977,789402,4,160.26
2,3,3,2767702,3336680,2916540,420140,2,1421.81
1,4,3,2768161,2928559,2656356,272202,5,1628.38
1,5,3,2768264,2092732,1715545,377187,3,5871.85
2,2,3,2770000,1722434,1173594,548840,2,217.77
2,2,3,277017,179375,168473,10903,1,2095.38
2,4,3,2771108,2903070,1627198,1275872,2,1263.33
2,2,3,2771114,3104870,2476732,628138,2,3238.68
2,5,3,2782500,2637700,1337700,1300000,1,304.07
2,6,3,2784992,2166672,1941128,225544,5,3281.56
2,3,3,2786050,906332,841333,64999,3,1955.55
2,5,3,2787937,1808968,1609975,198993,4,1681.23
1,5,3,2793015,1822247,1357711,464536,2,1687.38
2,4,3,2794219,2206158,1894463,311695,2,1331.23
2,4,3,2798193,2460080,2158621,301458,4,3281.56
2,2,3,280000,2218395,2177395,41000,2,109.49
2,1,3,280000,585450,585450,0,1,272.59
1,1,3,2802916,2005822,1377196,628626,2,1516.44
1,6,3,2805167,3161457,2711670,449787,3,5139.13
2,3,3,2806424,2208591,1522619,685972,2,493.96
2,2,3,2808091,2474175,2084040,390135,4,2404.37
1,5,3,2808324,2164745,1316609,848137,2,519.07
2,4,3,2811887,2701911,1970638,731272,3,2927.6
1,2,3,2813162,3160550,3091071,69480,2,4400.88
1,1,3,2813460,1573404,1384711,188693,4,309.89
1,6,3,2818472,731677,560004,171673,1,2654.3
1,4,3,2823482,1943159,1728033,215126,2,671.42
1,4,3,2828702,3258354,2688974,569380,2,420.59
1,2,3,2829575,1605254,1254066,351188,2,1947.89
2,5,3,2830576,2448071,2060409,387661,5,2165.18
2,4,3,2831268,2338169,2144299,193870,5,1182.97
2,4,3,2834845,3650562,3229353,421208,3,1482.46
1,2,3,2834854,3613260,3209660,403600,3,816.3
2,5,3,2836092,1605440,1398080,207359,2,2190.44
1,3,3,2836168,3171574,3047287,124287,2,640.09
1,3,3,2837976,1983193,1559611,423582,4,941.04
2,1,3,2839464,2129886,1924364,205522,2,2312.65
1,6,3,2839620,5762604,4883105,879499,1,1662.91
2,2,3,2840435,2625095,1881053,744043,2,3539.21
2,2,3,2841510,1328788,1138587,190201,2,1539.08
2,2,3,2844388,1573337,1347112,226225,2,1298.35
1,3,3,284544,421136,384290,36846,2,432.37
2,5,3,2848900,1593677,1447977,145700,2,60.36
2,4,3,2852357,3588000,3095636,492365,4,1217.24
1,3,3,2854080,2027115,1852553,174561,2,612.97
2,5,3,2856529,2090804,1666013,424791,2,925.15
1,3,3,2856796,2070156,1792517,277638,3,1354.1
1,6,3,2857386,3254886,2809505,445381,4,2630.22
1,4,3,2857896,2409033,1843249,565784,2,749.36
2,2,3,2859269,2315795,1920636,395159,4,2191.75
1,5,3,2862339,2459280,1972891,486388,2,251.01
1,4,3,2862428,1685177,1482997,202180,2,1578.82
2,1,3,2864745,2148484,1483732,664751,3,493.73
1,2,3,2868084,2071837,1188979,882858,2,557.37
1,5,3,2871668,1749171,1400287,348884,4,289.43
1,1,3,2875142,1351201,1048673,302528,1,7430.6
2,3,3,2876553,2016603,1750265,266338,4,2543.1
2,2,3,2877100,3473309,2140807,1332501,3,821.72
2,4,3,2879034,2081174,1429248,651926,2,1072.51
1,5,3,2879356,2579090,1185140,1393950,1,2492.07
2,2,3,2880247,1460856,1229172,231684,2,2199.27
1,4,3,2881375,2467967,1899360,568607,4,2999.42
1,2,3,288154,935616,869292,66325,1,5626.32
2,6,3,2882000,1394560,1375140,19420,2,53.06
1,6,3,2885067,1462212,1306692,155520,5,326.47
1,5,3,2885265,2912664,2403457,509207,3,2125.21
1,3,3,2889168,1382426,1113631,268795,2,777.29
1,4,3,2889765,2582288,2141740,440548,1,797.71
2,2,3,2892158,1480848,1120596,360252,3,1248
2,5,3,2892682,1871108,1304353,566754,7,3327.54
1,4,3,2892790,2364808,2233298,131510,2,288.25
1,3,3,2895247,1866760,1496428,370332,2,539.66
1,5,3,2895293,3505253,2822925,682329,3,1147.34
2,3,3,2896847,2706189,2164606,541582,3,3450.68
1,3,3,2899377,1817777,1327820,489957,2,3626.67
2,6,3,2899905,1794504,1361338,433165,1,1015.34
1,4,3,290257,557774,455554,102221,2,1036.4
1,5,3,2904570,3170409,1782625,1387784,4,161.8
2,4,3,290559,1323511,1156986,166524,1,2982.38
2,5,3,2910725,3922471,3355327,567145,2,620.89
2,2,3,2910828,6659648,6172458,487190,2,1836.91
2,3,3,291208,308028,300708,7320,1,1129.65
1,4,3,2913139,4680201,4068672,611529,1,1494.76
2,3,3,2913806,2556070,2236307,319763,4,786.34
2,2,3,2914096,2276574,1317720,958854,2,1758.74
1,5,3,2925525,2968810,1933913,1034898,3,3445.81
2,6,3,2926240,3160718,2364658,796060,3,2843.76
1,2,3,2928309,2745388,2597085,148303,3,1088.98
2,2,3,2929237,3031828,2152367,879461,2,3424.75
1,4,3,2931000,1710491,1428013,282478,4,2722.19
2,5,3,2931147,1721027,1482289,238738,3,1149.72
2,4,3,2932604,3054045,2121004,933041,2,607.3
2,4,3,2934234,2622453,2227801,394651,4,1715.78
2,3,3,2934798,2261348,1416114,845234,3,545.89
2,2,3,2935279,3344133,2302143,1041989,4,925.25
1,3,3,2936927,2538028,1898257,639771,3,564.78
1,3,3,2940000,2089402,882012,1207390,2,270.44
1,3,3,2941490,3802449,3598959,203490,3,93.82
2,3,3,2942535,1057321,801735,255587,1,1498.41
2,2,3,2943865,1942672,1619027,323645,1,2459.28
1,4,3,2945227,2073808,1510016,563792,3,837.5
2,2,3,2945838,1545891,1344433,201458,2,1228.74
1,5,3,294600,956138,849859,106279,1,1077.39
1,4,3,2947940,2017746,1796695,221050,4,557.78
2,2,3,2948096,2112255,1367479,744776,2,430.52
1,2,3,2949506,1954622,1512096,442526,3,808.21
1,2,3,2949627,2587931,2346037,241895,4,2846.5
2,5,3,2954636,2848182,2093375,754807,5,2991.28
1,2,3,2954754,1750044,1185771,564274,1,395.83
1,4,3,2961265,3557058,2689438,867619,2,3676.47
2,1,3,2961304,2354840,1709829,645011,2,1406.96
2,5,3,2963360,1447396,1332384,115012,2,4292.97
2,3,3,2965157,2363215,1470449,892767,1,2453.63
2,5,3,2967090,2692110,1929637,762473,3,3475.64
2,5,3,2967592,1658318,1394229,264089,4,1180.69
2,3,3,2971521,2035572,1900058,135514,4,949.03
2,2,3,2974401,2705294,2131556,573737,3,1428.97
1,3,3,2976473,3183919,2951646,232272,5,2264.56
2,5,3,2981724,2654634,2103713,550921,2,1561.77
1,1,3,2986241,2807099,2285636,521463,3,2370.95
2,4,3,2986318,1344765,1182096,162669,3,2150.91
2,6,3,2986917,11356952,10566432,790520,2,595.14
1,6,3,2988956,3232994,2380125,852869,3,1752.18
2,1,3,2989734,1665993,1472796,193197,2,3206.53
2,5,3,2990599,3139503,1842553,1296950,4,4072.19
1,1,3,2990653,6579888,6322432,257456,5,430.87
2,5,3,2991230,2085296,1697815,387481,2,1616.67
2,6,3,2991754,2289747,1713892,575855,3,805.71
2,4,3,2991847,2923355,2278825,644530,4,3038.06
2,3,3,2994513,2223093,1216829,1006264,1,2374.16
1,5,3,2995419,3326454,2610829,715625,3,275.77
1,2,3,2999217,2453041,1964571,488470,4,1345.71
1,3,3,2999387,1955077,1730202,224875,3,2958.21
2,6,3,300000,757469,376464,381006,1,557.67
2,2,3,3000000,2017624,1822280,195343,1,956.19
2,4,3,3000000,1615807,1519257,96550,3,176.81
1,5,3,3000000,2018996,1193355,825641,1,267.02
2,5,3,3000000,3153082,2355441,797641,3,158.7
2,5,3,3000000,2883107,1458047,1425059,2,900.8
1,2,3,3000000,820802,674506,146296,1,214.03
1,5,3,3000000,2788415,2376119,412296,4,4419.54
2,5,3,3000000,1508958,1273858,235100,1,897.57
2,6,3,3001132,2872762,2754342,118420,3,288.85
1,3,3,3001852,3095386,2599714,495673,4,1039.54
1,3,3,3002692,2709052,2376016,333036,3,587
2,1,3,3003,3412511,2562307,850204,2,1655.33
1,3,3,3004620,2973617,2683847,289769,2,1841.15
1,5,3,3006573,974160,744611,229549,2,133.52
2,3,3,3010887,2892096,2410333,481763,3,1639.88
2,5,3,3012646,2038914,1775017,263897,2,1578.82
1,5,3,3012741,1544918,1153410,391509,4,1462.03
2,4,3,3013034,2671189,2422417,248772,1,182.14
1,2,3,3013277,1722469,1405740,316729,3,2597.71
1,3,3,3013297,2905365,2268273,637092,4,3164.65
1,4,3,3013588,2859840,2042882,816958,4,799.48
2,2,3,3014341,2492914,2128850,364064,4,5590.53
1,2,3,3014972,2520712,1846653,674059,3,3541.58
1,6,3,3015281,1594222,1586549,7674,2,2468.22
2,3,3,3016517,2942362,2778066,164296,3,3475.64
1,1,3,3016653,2633657,2245283,388374,4,669.31
2,3,3,3017242,2855030,2589328,265702,5,1375.05
2,5,3,3018975,2798742,2352649,446092,4,1513.62
1,3,3,3019107,2322013,2234449,87564,3,2267.68
2,1,3,3020174,2641442,2304253,337189,3,2462.41
2,5,3,3022011,2080173,1486979,593194,2,1580.5
1,2,3,3022949,2566099,2160054,406046,3,2129.47
2,4,3,3023230,4133661,3389741,743920,2,347.53
1,4,3,3023940,3859971,2489961,1370010,2,725.79
2,1,3,3025060,2396956,1821649,575307,4,407.07
1,3,3,3025360,1963504,1862062,101442,2,643.8
2,2,3,3025412,2118885,1621540,497346,5,1028.3
1,1,3,3029793,3563121,3254486,308635,4,3283.51
2,6,3,3030320,2633768,2267053,366716,3,378.22
2,4,3,3031507,4483960,3620039,863922,5,6697.49
1,3,3,3032580,2731181,2148841,582340,3,290.28
1,3,3,3032604,2415433,1885162,530271,4,2402.3
1,3,3,3033565,1397567,1146603,250964,2,600.79
2,3,3,3034149,2169890,1844677,325213,3,2049.58
1,5,3,3036481,3582132,3150515,431617,6,1701.24
1,2,3,3037272,2930582,2720716,209865,4,1182.97
1,3,3,3037483,2562725,1938471,624254,3,1232.07
1,3,3,3038142,2609576,2061935,547642,4,2042.29
1,5,3,3039997,1579107,1459713,119394,2,1450.08
2,4,3,3041126,2033134,1547371,485763,2,1576.64
2,1,3,3041460,2822552,1872606,949945,4,2842.03
