순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
20,이지찬,kt,0.231,34,42,39,4,9,2,0,0,11,4,1,0,2,16,8,2,0,0.33,3.4,0.051,2.5,0.191
21,조중근,kt,0.222,25,39,36,4,8,0,0,1,11,2,0,0,1,13,9,1.44,0,0.5,4.26,0.083,2.9,0.203
22,신명철,kt,0.211,73,158,128,10,27,2,2,2,39,18,5,1,6,42,24,1.75,0,0.67,4.41,0.094,14.9,0.226
23,김동명,kt,0.196,21,66,51,8,10,3,0,0,13,3,1,0,3,14,11,1.27,0,0.81,4.52,0.059,6,0.23
24,문상철,kt,0.172,37,70,64,6,11,2,0,2,19,6,0,0,4,15,16,0.94,0,0.27,3.57,0.125,4.5,0.184
25,심우준,kt,0.171,88,120,117,14,20,6,0,1,29,11,1,0,7,34,33,1.03,1,0.07,3.55,0.077,2.6,0.145
26,김태훈,kt,0.167,7,18,18,1,3,1,0,0,4,0,0,0,1,3,4,0.75,0,0,3.72,0.056,0.3,0.131
26,모상기,kt,0.167,3,6,6,1,1,0,0,0,1,0,0,0,0,0,3,0,0,0,3.33,0,0,0.117
28,이창진,kt,0.158,13,20,19,1,3,1,0,0,4,0,0,0,1,4,6,0.67,0,0.17,3.4,0.053,0.6,0.143
29,김영환,kt,0.083,13,13,12,0,1,0,0,0,1,1,0,0,0,3,5,0.6,0,0.33,3.54,0,-0.2,0.09
30,배병옥,kt,0.078,43,53,51,5,4,1,0,1,8,2,0,0,2,15,14,1.07,0,0.06,3.75,0.078,-0.5,0.09
31,고영표,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,김기표,kt,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,김민수,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,김사율,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,배우열,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,심재민,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,안상빈,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,이해창,kt,0,5,4,3,0,0,0,0,0,0,0,0,0,0,1,0,-,0,0,2.5,0,0.1,0.113
31,장시환,kt,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,정대현,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,홍성무,kt,-,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,-,6,-,0.4,0
31,홍성용,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
31,황덕균,kt,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
1,양원혁,LG,0.5,3,2,2,2,1,0,0,0,1,1,0,0,0,1,0,-,0,-,3,0,0.4,0.35
2,서상우,LG,0.422,25,51,45,12,19,5,0,2,30,7,0,0,7,11,7,1.57,2,0.5,3.98,0.244,12,0.387
3,한나한,LG,0.327,32,126,107,17,35,9,0,4,56,22,1,3,13,24,20,1.2,3,0.39,4.38,0.196,21.3,0.311
4,백창수,LG,0.323,25,36,31,4,10,4,0,0,14,0,2,0,4,8,10,0.8,0,1,3.39,0.129,5.1,0.285
5,박용택,LG,0.303,95,394,357,47,108,19,2,14,173,55,1,5,35,94,103,0.91,5,0.49,3.84,0.182,58.4,0.281
6,정성훈,LG,0.298,94,367,299,42,89,14,1,8,129,38,5,4,23,86,73,1.18,5,0.85,3.98,0.134,54.3,0.292
7,나성용,LG,0.283,32,64,60,5,17,2,0,3,28,9,0,0,5,10,8,1.25,0,0.08,4.06,0.183,8.3,0.264
8,양석환,LG,0.281,90,271,249,26,70,15,0,7,106,34,5,3,22,47,87,0.54,2,0.29,3.97,0.145,32.3,0.249
9,이민재,LG,0.273,22,25,22,4,6,1,0,0,7,4,0,1,1,7,5,1.4,0,0.2,3.84,0.045,2.5,0.224
10,오지환,LG,0.264,106,443,386,59,102,27,4,8,161,39,3,1,39,94,99,0.95,6,0.55,4.31,0.153,58.6,0.263
11,이진영,LG,0.264,72,257,220,20,58,3,0,6,79,31,2,2,9,63,61,1.03,4,0.75,3.9,0.095,29.1,0.25
12,유강남,LG,0.26,89,203,181,18,47,7,0,6,72,24,5,1,13,44,54,0.81,2,0.27,3.74,0.138,21.6,0.243
13,황목치승,LG,0.257,23,73,70,11,18,2,1,0,22,8,0,1,3,25,18,1.39,2,0.2,3.6,0.057,5.9,0.202
14,채은성,LG,0.252,67,152,135,21,34,8,2,4,58,17,3,1,14,39,31,1.26,2,0.31,3.95,0.178,17.3,0.249
15,김용의,LG,0.251,71,199,171,30,43,5,1,0,50,15,3,0,6,51,39,1.31,1,0.58,4.11,0.041,18.8,0.229
16,손주인,LG,0.251,69,209,183,21,46,8,0,0,54,10,10,1,8,36,71,0.51,1,0.42,3.98,0.044,16.6,0.212
17,이병규,LG,0.243,70,277,230,42,56,9,1,12,103,35,1,0,22,48,43,1.12,1,0.52,4.23,0.204,39.5,0.279
18,히메네스,LG,0.235,33,138,132,15,31,9,0,4,52,17,0,1,13,21,49,0.43,2,0.13,3.83,0.159,13.7,0.216
19,임훈,LG,0.233,51,149,129,19,30,5,0,1,38,15,5,1,6,44,31,1.42,0,0.44,3.6,0.062,12.3,0.211
20,이병규,LG,0.222,35,77,72,3,16,6,0,1,25,8,0,1,7,27,17,1.59,1,0.31,3.6,0.125,5.7,0.204
21,문선재,LG,0.217,87,210,184,23,40,10,1,5,67,24,5,0,16,43,53,0.81,1,0.4,4.18,0.147,19.8,0.225
22,안익훈,LG,0.214,19,15,14,3,3,0,1,0,5,2,0,0,1,8,1,8,0,0.5,4.4,0.143,1.2,0.209
23,최경철,LG,0.209,82,187,163,22,34,6,1,3,51,17,8,1,10,39,41,0.95,2,0.22,3.97,0.104,15.6,0.202
24,박지규,LG,0.197,70,141,127,14,25,6,1,0,33,8,3,1,7,37,25,1.48,1,0.2,4.18,0.063,9,0.179
25,김영관,LG,0.143,20,21,21,2,3,0,0,1,6,2,0,0,1,7,2,3.5,0,0,3.81,0.143,0.4,0.136
26,윤진호,LG,0.083,29,13,12,3,1,0,0,0,1,1,1,0,0,4,4,1,0,0,4.08,0,-0.3,0.058
27,최승준,LG,0.077,8,31,26,0,2,0,0,0,2,1,0,1,0,7,11,0.64,0,0.57,4.35,0,0.5,0.107
28,김지용,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
28,봉중근,LG,-,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
28,신승현,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
28,유원상,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
28,이동현,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
28,이준형,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
28,조윤준,LG,0,7,8,8,0,0,0,0,0,0,0,0,0,0,4,0,-,0,0,3.25,0,-1.1,0
28,진해수,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
28,최동환,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
1,테임즈,NC,0.376,104,444,356,104,134,30,5,37,285,107,0,5,72,56,101,0.55,9,1.09,3.94,0.424,120.6,0.42
2,박광열,NC,0.316,30,20,19,2,6,1,0,0,7,3,0,1,1,7,3,2.33,1,0,3.5,0.053,1.7,0.227
3,나성범,NC,0.316,106,459,412,81,130,23,2,19,214,87,2,7,44,96,96,1,14,0.24,3.64,0.204,79,0.295
4,박민우,NC,0.308,103,452,386,78,119,23,5,2,158,31,2,4,30,104,91,1.14,1,0.62,4.15,0.101,68,0.281
5,김종호,NC,0.3,104,402,353,76,106,16,5,4,144,32,10,2,25,128,64,2,5,0.58,3.79,0.108,54.9,0.265
6,김성욱,NC,0.297,89,123,111,22,33,6,0,2,45,17,0,0,8,16,29,0.55,0,0.27,3.59,0.108,15.7,0.266
7,이호준,NC,0.295,99,404,353,36,104,23,0,19,184,90,3,2,42,97,74,1.31,5,0.55,3.99,0.227,62.5,0.299
8,지석훈,NC,0.276,101,349,312,35,86,11,0,6,115,31,7,3,17,98,65,1.51,4,0.29,3.67,0.093,39.5,0.241
9,조영훈,NC,0.269,72,88,78,12,21,4,0,5,40,19,1,1,9,18,19,0.95,2,0.38,4.05,0.244,14.1,0.278
10,이종욱,NC,0.268,102,416,365,53,98,21,2,3,132,40,3,2,26,99,109,0.91,6,0.72,3.91,0.093,49.4,0.248
11,김태군,NC,0.257,106,349,315,27,81,18,0,4,111,38,7,7,22,87,91,0.96,3,0.19,3.66,0.095,33.5,0.221
12,모창민,NC,0.257,70,158,144,14,37,11,0,4,60,22,2,1,15,32,33,0.97,0,0.26,3.79,0.16,18.7,0.243
13,조평호,NC,0.25,10,8,8,2,2,1,0,0,3,0,0,0,1,1,2,0.5,0,0,3.88,0.125,0.7,0.206
14,용덕한,NC,0.23,68,139,122,12,28,6,0,1,37,13,5,0,7,51,20,2.55,1,0.35,3.35,0.074,11.7,0.21
15,최재원,NC,0.229,82,57,48,20,11,4,0,1,18,8,1,0,5,11,12,0.92,0,0.43,3.96,0.146,7.7,0.246
16,손시헌,NC,0.226,102,370,318,40,72,18,2,7,115,45,11,4,27,109,89,1.22,6,0.48,3.63,0.135,36.7,0.227
17,윤병호,NC,0.125,7,8,8,0,1,0,0,0,1,0,0,0,0,4,0,-,0,0,4.13,0,-0.2,0.088
18,노진혁,NC,0.097,52,33,31,3,3,2,0,0,5,1,1,0,2,9,12,0.75,0,0.14,3.97,0.065,-0.3,0.097
19,강민국,NC,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.5,0,-0.2,0
19,강장산,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,고창성,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,김태진,NC,0,1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,-,0,-,4,0,-0.3,0
19,마낙길,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,-0.3,0
19,민성기,NC,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,박정준,NC,0,2,2,2,0,0,0,0,0,0,0,0,0,0,1,0,-,0,0,3.5,0,-0.2,0
19,손민한,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,이민호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,이창섭,NC,0,8,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.67,0,0.2,0.15
19,이태양,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,이혜천,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,임정호,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,임창민,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,최금강,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
19,황윤호,NC,0,10,6,5,2,0,0,0,0,0,0,0,0,0,1,3,0.33,0,1,3.5,0,-0.1,0.075
1,이진석,SK,0.5,4,2,2,1,1,0,0,0,1,0,0,0,0,0,0,-,0,0,6.5,0,0.1,0.35
2,홍명찬,SK,0.333,5,3,3,0,1,0,0,0,1,0,0,0,0,0,0,-,0,0,3.33,0,0.3,0.233
3,이명기,SK,0.326,96,409,365,65,119,21,1,1,145,23,9,3,23,120,69,1.74,0,0.43,3.87,0.071,52.4,0.269
4,최정,SK,0.312,68,287,237,37,74,16,0,14,132,49,1,2,30,33,68,0.49,7,0.67,4.22,0.245,54.6,0.33
5,최정민,SK,0.308,7,15,13,1,4,0,0,0,4,2,1,0,0,5,1,5,0,0.33,3.6,0,1.5,0.238
6,김연훈,SK,0.297,26,45,37,3,11,1,0,1,15,1,4,0,2,10,9,1.11,0,0.43,3.4,0.108,5.5,0.266
7,이재원,SK,0.296,99,417,361,45,107,15,1,11,157,86,0,4,27,85,107,0.79,11,0.67,3.66,0.139,57.4,0.28
8,김성현,SK,0.286,87,296,269,29,77,11,0,6,106,29,5,1,17,84,77,1.09,3,0.59,3.54,0.108,32.1,0.25
9,허웅,SK,0.286,13,16,14,2,4,1,0,0,5,3,0,0,1,1,7,0.14,0,1,3.88,0.071,2,0.258
10,박정권,SK,0.281,82,336,295,40,83,20,0,12,139,42,3,0,32,70,60,1.17,2,0.45,4.07,0.19,47.8,0.281
11,조동화,SK,0.28,89,227,182,29,51,4,1,2,63,14,18,2,7,55,37,1.49,1,0.54,4.18,0.066,28.5,0.25
12,정의윤,SK,0.274,49,129,113,12,31,4,0,3,44,23,0,1,7,22,35,0.63,2,0.38,3.83,0.115,15.6,0.258
13,김강민,SK,0.267,55,216,195,31,52,11,0,3,72,19,0,0,14,47,45,1.04,5,0.31,3.88,0.103,23,0.244
13,브라운,SK,0.267,98,408,345,62,92,14,2,24,182,60,0,1,40,97,70,1.39,8,0.63,3.95,0.261,67.3,0.302
15,나주환,SK,0.262,73,216,195,24,51,11,0,3,71,16,9,1,14,52,55,0.95,2,0.26,3.95,0.103,19,0.226
16,박진만,SK,0.259,63,137,112,11,29,3,0,2,38,11,2,0,5,24,41,0.59,1,1.17,4.15,0.08,15.5,0.258
17,정상호,SK,0.252,78,248,214,29,54,9,1,8,89,38,6,0,18,50,48,1.04,3,0.24,3.88,0.164,31.4,0.257
18,유서준,SK,0.25,7,5,4,3,1,0,0,0,1,0,0,0,0,0,2,0,0,1,3.8,0,0.6,0.243
19,박재상,SK,0.249,74,214,185,26,46,8,2,5,73,25,2,1,15,49,53,0.92,3,0.61,4.34,0.146,26.5,0.252
20,박계현,SK,0.24,75,241,208,23,50,2,0,0,52,18,11,1,2,81,42,1.93,0,0.47,3.77,0.01,18.8,0.202
21,윤중환,SK,0.24,15,28,25,1,6,0,0,1,9,4,0,0,1,8,5,1.6,0,0.5,4.43,0.12,2.9,0.234
22,김민식,SK,0.167,23,26,24,4,4,0,0,0,4,0,0,0,0,11,7,1.57,0,1,3.73,0,0.1,0.146
22,이대수,SK,0.167,11,21,18,1,3,1,0,0,4,1,2,0,1,2,4,0.5,0,0.11,3.67,0.056,0,0.15
24,박윤,SK,0.087,11,25,23,1,2,0,0,0,2,0,1,0,0,8,3,2.67,0,0,3.4,0,-1,0.078
25,김재현,SK,0.071,25,15,14,8,1,0,1,0,3,0,0,0,1,6,2,3,0,0,4.33,0.143,0.2,0.113
26,안정광,SK,0.067,8,15,15,0,1,0,0,0,1,1,0,0,0,4,4,1,0,0,3.6,0,-0.8,0.047
27,고효준,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
27,박정배,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
27,박철우,SK,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
27,서진용,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
27,신재웅,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
27,이재영,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
27,이창욱,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
27,이한진,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
27,정우람,SK,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,-,-,-,0,0
