,Title,Author,ReviewID,Texts,YMD,Sentiment
44597,worthless,taza,R19G64PZM5AV5N,"I had my first phone replaced the second one still as worthless. it  shuts off and restarts itself  on daily basis in middle of conversation or  while looking up directions, reception is horrible microphone/speaker",2/23/14,0
146228,"Extremely slow, bad battery life, very fragile, horrible phone.",Celina,R32AXHPB0A4D91,"After only having this phone for 3 days the screen cracked after falling 9 inches onto a blanket.  After that I would occasionally just wake up in the morning and find another crack in the screen until it eventually completely shattered one night. The battery life is horrible, it would last at max for four hours and would take forever to charge.  It is extremely slow and occasionally will just stop reading the sim card.  Then there is a huge list of steps that must be taken in order to get it working again.  The camera on the phone is also horrible!! I contacted Samsung about all of these problems, and was told it is not their problem, and to just fix the screen they want $200.  Samsung claims the phone is durable, but I have seen the exact opposite in my experience.",2/19/14,0
82483,bad quality,neon,R3DQFPWC99EPJU,The back did not fit so the battery kept falling and wouldnt stay charged. It didnt matter how much it charged it would die after one call.,2/9/14,0
91869,Nothing but problems with my order..,Jefferson Wing,RPF74MWK4NWHQ,"My phone wouldnt charge and i also waited a week after i got my phone in the mail for a Wireless charging plate and it still didnt charge. i also open the phone up and found missing 3-4 missing screws so, my phone was tampered with when in the description NEW NOKIA LUMIA nothing saying it was used and opened that is false advertising and im PISSED OFF about all of it!!!",2/5/14,0
158580,cost,anthony,R3RUT40ZKCLEK,I am not writing this review because of the phone. I am writing it because of the cost. On amazon the phone is 500 dollars but if you go to a regular apple store you can get it from 99-200 dollars. It is sad for me to see that people are spending 500 even though they can spend 200 for a new one.,2/16/14,0
128665,Horrible quality,brooke snedecor,R15240YT15GBK0,It didnt work 2 days after I got it and the battery never charges even when it's on the charger.,2/27/14,0
99698,horrible,eliyahu,R44G5F0AY9NCZ,"This phone is really not a good phone it just wasn't built well, and not easy to use.the call quality is very poor, the speaker is horrible. I  would not recommend this phone to ant one",2/14/14,0
156337,First and last LG phone,Cameron Gragg,RQSS42F4F6SA4,"Pros: The phone is incredibly fast, the screen is beautiful and the battery lasts all day easily.Cons: The buttons are bit odd, I knew about that before I got the phone so I do not count that towards the one-star review. I bought the phone 3 months ago, and the headphone jack stopped working, and the top 1/3 of my screen does not activate on touch. The phone never felt sturdy, and I was warned that LG was not a quality brand. The phone looked so nice that I wanted to give it an honest shot. To make matters worse, LG will not cover the cost of shipping and expects me to go without a phone while the factory figures out what is wrong with mine. Its only been 3 months!!!! and none of these problems are due to misuse or negligence. It has been in a case since I first got it, and the headphone jack has been rarely used.Bottom line: nice phone, terrible build-quality and bad support.I would not buy this phone again, it doesn't matter how awesome the phone is if it doesn't last more than 1/8th of the way through my 2 year contract.",2/17/14,0
166972,IT DONT WORK WITH WALMART MOBILE,EDWARD,R18TFYCWLJ5TM2,"OPEN THE BOX I WAS SO EXCITED, THAT ENDED QUICK!!, ADD SAY THAT PHONE IS SUPPOSE TO WORK WITH T-MOBILE, (((NOT)))!!!!!",2/12/14,0
184219,cheap phone that breaks quickly,Lisa Hill,R16JCNCRWHAX0W,"This phone is a piece of crap, the charging port broke off less than 3 months after i bought it, not a good phone at all",2/14/14,0
25924,"Hard to Learn, Proprietary Charger",Todd R. Goddard Todd Goddard,R63AQR4W4DYR6,Clearly a back up phone that will sit on the shelf. Nothing better. Can not give it a positive word.,2/18/14,0
51461,Bad product,Amala Heera,R3H5JA0I9JQEKS,I purchased this phone. Two weeks later i had to purchase a new battery for the phone because the battery was not taking any charge.,2/19/14,0
153374,not the 4s looks like it,jasmine lovelace,R1I0TLVKN0B8I9,the phone was OK it looks like the 4 s but its notthe phone had speaker problemsit was ok for the price,2/24/14,0
159160,malfunctions alot,Erin Lofton,RQA9P75I2SOA,sound wavers. signal is shotty. constantly have to restart. NOT WORTH THE MONEY. very disappointed. was not up to par with what the description said.,2/10/14,0
94177,Yep! I should have listened -- the battery cover won't stay on the phone I just purchased.,57 Firedome,R13ERIBXMOH6ZH,"The TracFone customer service rep said I should take the phone to a retailer to see if they have a cover that will fit.  She said she couldn't help me.  Stuck the phone on the charger, inserted the battery. The ding dang cover won't stay on!!!!!!!",2/28/14,0
166279,Very bad phone! Don't recommend,MIKE BRAKEALL,RMJCMJ5N9HVUQ,"I have had MANY problems with this model. I purchased it brand new and it has been a pain. It constantly loses connections with network. The navigation app is horrible. The music sounds good, but for most of the other significant features:, NOPE!",2/19/14,0
21459,Terrible Phone,Robert Marsden,R2T95PZVHD9PWO,"This phone was terrible , it comes in Japanese no English I  am unable to use itI would not advice anyone to buy it",2/4/14,0
19756,Review,victor coombs,R1U9ZKBKWAC0Y7,"both service with the telephone were excellent they are very good for the Caribbean. Until now I have not received the monitor I need it to send to the Carribbean to a nurse student,",2/27/14,0
165573,This product sucks!,Sereena,R3D1Z0RZ67MIZ,It will not charge.It wont properly read the sd cards. Its to much of a hassle. I want my money back,2/19/14,0
133437,"Ordered a new phone, but was sent a used one. Amazon remedied the situation ASAP.",L. E. L,R2FPU0IZPLU9OO,"I recently purchased what was supposed to be a brand new phone. I noticed after I opened it that the clear protective stickers on the outside of the phone looked like they'd been reapplied. They had bubbles under them and dust. Then I noticed the seal on the outside that says do not accept if this seal is broken had another one underneath it, so clearly it had been broken and replaced once.Amazon immediately replied as they fulfilled the purchase (from the seller Top 10 Cell). They kindly offered me the options of a full return,  an exchange for a new phone at the same price, or keeping the phone at a 30% discount. I did decide to return it, as I didn't trust it at that point. Amazon was VERY helpful with this. If they hadn't fulfilled the item, I would have had to go completely through the seller for help.  The seller themselves contacted me after I left them bad feedback. They wanted to tell me that they open the phones before sending them out to be sure all of the accessories are in the box. Clearly that makes no sense for a brand new phone, for obvious reasons.My previous phone was the Galaxy SII, which I loved. I think Samsung phones are great, but beware of receiving a used phone when ordering a new one.",2/13/14,0
162387,"Nice, but hot, just not what I thought it would be",Shamelia DeBoe,R2FFPFV6N1T6BS,I loved this phone when I first received but as days went by it was just to hot for me to keep holding this device to my ear. After a while the phone started shutting off during my calls the battery life sucks and it just wasn't right for me overall beautiful pics it takes.,2/14/14,0
155528,junk phone with junk service,YoMalachi,R6WTN1W53JAOL,"switched from Tmob to Verizon cuz the price of the phone was $13 and the plan was cheaper than my Tmob.  the phone is really hard to hold on to...like its slippery.  the keyboard is junk, typos all the time, no built in emoti.  BlinkFeed is stupid, its like a Flipboard wanna be.  it's not intuitive and its too much work to customize the phone.  i also have an iphone 5, and there is no comparison.  also, supposedly verizon is supposed to have the best netowrk, but i live in brooklyn and get 1 bar in my house - even when i stand by a window.  the call quality is terrible. this phone might look good, but everything else is terrible.",2/21/14,0
183872,it sucks,Blake West,R2JAWMY12SF1DQ,i wouldnt recommend this product. although it had some nice features...the quality was cheap and dissapointing to my purchasing spirit.,2/19/14,0
125020,would not buy again,Yachtwork,RQ3G31AT9OKJH,I have had this phone for about a year now and find the phone poor. Worst is when side by side an I phone or the Samsung S4.For example the camera focus is poor and often I end up with blured photos. The macro is particularly bad. The volume of the phone is low and I struggle to hear. This in itself is a deal breaker and there are many forums with various tips but in the end the volume is low and to hear I have to jam the phone against my ear. The hands free brings a lot of complaints from the people listening. They saythey can't hear or can't understand. I have tried this hands free feature side by side with an I phone and the nexus 4 is WAY worse. The audio when playing music is also low and when listening on earphones I always say Is That It?And the worst of the worst is the super short battery life. We are always charging the two Nexus 4 phones and they never make through the day. So we carry external charging blocks.When we put out a bunch of android phones together we can make them all connect except for the Nexus 4 for some reason. This is to transfer files or photos.For some reason nobody makes a waterproof case for the Nexus 4 nor some of the other normal accessories.In the end there are a lot of good phone and this one is just so so. Hope that helps others make a decision.,2/19/14,0
166022,wasted $$$$!!!,Melissa Davis,R31E6XXVFETK94,Said it was unlocked but couldn't use it with my carrier so I wasted 100 $$ for nothing thanks amazon not really,2/22/14,0
175715,Defective Product,Linda,R2SUYZBUQBV0GK,"Bought new, but the drive did not work. Returned less than 24 hrs after receiving. Very disappointed in this product.",2/20/14,0
88460,Phone is a piece of ****,J. Danczyk Shasta,R15HXQJEACWAWS,"First off, customer service was very good.The phone however, really ...well sucked!  It started out fine for about 2 weeks, then I lost control of answering calls, dialing out, the screen refused to respond half the time, things like internet browsing or google maps were just not possible.  I am not a heavy phone user, talk/text/data i don't use much of it, I took good care of it but in the end it was just to much to overlook.  They offered me a refund or a replacement.  I took the refund.  Again, the seller was good, but the phone was not.",2/19/14,0
165175,cheap phone that breaks quickly,Lisa Hill,R16JCNCRWHAX0W,"This phone is a piece of crap, the charging port broke off less than 3 months after i bought it, not a good phone at all",2/14/14,0
163250,Camera is not that Good !!! Too Big To handle and carry !!!,DARSHAN BHANSALI,RQLFXR8SQON29,Camera is not that GoodToo Big To handle and carrydo not support 4G speedPictures taken from the camera is not that Good or clear inspite of being 7 MB in size and max resolution,2/17/14,0
159399,Don't do it,Aaron andrade,RTXIFVKS9YL8Q,"Not for American use. Japanese tmobile. Not the right model. Took forever to get it, send it back, and get my refund.",2/24/14,0
63276,Outdated...,iNFO,R1Q3VUKIZ6VUIA,The phone is great but it works off a much older version of Android. Save your money and get one that runs 4.1 or better.,2/20/14,0
127695,"Terrible, this piece of crap barely worked at all",Ryan Minors,R1XED5E8OXGKF7,From the time it was taken out the box we knew that this was a bad purchase. The phone barely ever worked and it wasn't even worth the piece of cheap plastic it was made out of. I do not recommend this item and it should be stopped being sold on Amazon.,2/6/14,0
88457,phones did not work.,Kirk Kendrick,RLTR9YWFDORFG,first phone did not work and neither did the second replacement phone. cheapcellphonereplacement claims that all phones are inspected for defects. Apparently that is not true. When I have time I must return both phones at my expense for a refund.  Rating Unsatisfied.,2/3/14,0
153711,what? why did you rise the price?,Mario Amaya,R2I5DIQGVPDSZX,it was 399dolars now almost 600? r u crazy? what happened? it's crazy almost 200$ in a day.. i was going to purchase but now ....,2/6/14,0
164292,Horrible,Nicholas K.,R3UY2PSIZE6R5D,"The wifi does not work, the memory is low and even when I inserted an SD card I was being told low memory despite the fact that I selected SD card as preference for installation. The speaker stop working and I could only hear by using the headset. Save your money and look for something a bit more expensive that WILL ACTUALLY WORK.",2/1/14,0
83582,i phone,jose  diaz,R1AMEU5QLL4Q4G,it is fully functional but the internet signal from my home doesn't appear on the wifi locator matter fact none of my surrounding internet connections can be picked up by the phone and i was wondering if i could return it for one that does connect and pick up the wifi signals. or if i could get a refund//?,2/24/14,0
126882,Returned,Tess Bowers,R4MM90P1WUQKC,"My husband and I bought two of these phones and the covers to go with them.Although, the was no sound to the phones and they were returned.Had the phones had sound, I'm sure that we would have enjoyed them.",2/8/14,0
146658,description it is not the same like a product,santiago,R4VTPW6SVZBRU,"sorry but the product does not cover my expectative, now i have to spend a lot of money to unlocked this phone....",2/21/14,0
41878,Overall not  a phone I would recommend at  all.,christine Nankinga,RVZOFPD99FASX,the  phone heats up  switches on and off and  also self  erases information. it doesn't  read the n SD card and just  really been a problem  phone  from start  though  thought it would  work  out.  overall it was  not a good experience with Samsung phone.,2/12/14,0
78825,DO NOT BUY - THIS IS NOT AS ADVERTISED- UNIT NOT NEW,Gollwyn,R2LVD7WCIWDUCK,"I am forced to retract my previous five-star review upon finding that the product is FRAUDULENT!THIS IS NOT A NEW PHONE AS ADVERTISED.  IT IS REFURBISHED.After a month, it started developing battery problems; upon taking it to an Apple store, we were shocked to find out the unit is not now, that the case had been improperly tampered with, and the battery was failing (and out of warranty).  Thankfully, Amazon has authorized return and refund after I contacted them about the fraud.DO NOT TRANSACT BUSINESS WITH THIS SELLER OR THIS ITEM.  THEY ARE FRAUDULENT!",2/18/14,0
90521,Died after 3 months,Tena,R2EYP08L6AKR4P,I have major issues with the phone and I am out of the return policy.  I have a friend that has the same phone directly from tmobile and doesn't have the issues I have.  The issues I experience are1)  Drop Calls.  Don't use this phone to make calls2)  Battery Dies fast.  I thought it was the apps but I reset it and now it will go from 50% to turned off in a minute.3)  The screen is starting to die and flicker.I wouldn't NOT recommend this phone from this place.  They may have got a bad batch or something but it is terrible.,2/27/14,0
34301,THE CAMERA DON'T WORK,rafael lanzas,R3RWWVLKUOX9Z7,"I buy 2 9100. pearl. 1 of them don't work the camera,and the other the  WI-F don't work.I try several times and don't work.  .",2/2/14,0
156675,i'm pissed with this phone,tiffany,R3DQ4936F2FJRH,this phone is the worst phone i every got in my life u can't do nothing with it can't get pictures can't get ringtones like i know the phone is unlock but damn when should at least get a good quality phone too use smdh i would never tell anybody to get this phone,2/13/14,0
152008,Worst for outside the country,JOSE ROSEMBERG,RKSSR6Z1A5VMW,"This is the worst item that bought ever, if you are outside the states it does not work. I bought this item for nothing thanks for nothing",2/18/14,0
155248,REFURBISHED PHONE DIED AFTER 2 WKS!:(,kathleen Blaylock,R39DQKM3VHOJBT,"I LOVE THIS PHONE! HOWEVER, AFTER HAVING IT FOR 2 WEEKS IT SHUT DOWN! :( BUT, I DO WANT PPL TO KNOW I BOUGHT THIS REFURBISHED, SO DOUBT THE BRAND NEW ONES DO THIS? IT SUCKS BECAUSE I'M A SINGLE MOM OF A DEVELOPMENTALLY DISABLED SON WHO IS ALSO A TECHY! SO I AM PRAYING THE SELLER CAN MAKE IT RIGHT. WILL BE POSTING WHAT HAPPENS ASAP! :( ANYBODY READING THIS WHO PRAYS, PLS ADD THIS TO YOUR PRAYER LIST! I CAN'T EVEN AFFORD ANOTHER PHONE AND NEED A PHONE ASAP FOR MY SON'S MEDICAL, THERAPEUTIC NEEDS. EVERYTHING ELSE I've ordered from Amazon has been AWESOME! :)",2/15/14,0
179822,ONLY WORKED FOR THREE WEEKS,Avery Boykin,RJDL0A8PXDGUS,"I really do not appreciate how, cheaply this product is made. I only got to use it for 3 weeks. I defiantly did not get my moneys worth. it died, and would not charge back up. I tried like 5 different chargers. it was the phone. and being as it was a knockoff brand, our local technical shop couldn't not work on it, because they couldn't get parts for it.",2/26/14,0
165020,No good phone.,ernesto santos,R18V5BSZ7PVXTD,"I buy this phone to gifs to my family, all of them return the phone because work bad.The phone looks good but not work well.",2/28/14,0
129473,"Bad battery, bad phone",K. Frame,R2NFCULBOMAW5M,"Not a fan.  We had the phone for a month before the phone died.  Also, the product description said that it had an AM/FM radio, which is why my daughter picked this model.  Well, if it has this feature it's so well hidden that it's impossible to find.  I would have returned the phone, but I was too busy over the holidays and lost track of the latest possible return date.  Stay away!",2/18/14,0
98815,LMAO!! GNR!! LOL!! WTF!! AYS!!,Dwayne Khee,R3UD82FSGBTM1E,"super light weight, super slow web, charger was cheap, battery only holds, a 3 hour charge, packaging was bad. DON'T BUY THIS PHONE!!!!!!!! BUYER SKIP THIS ITEM!!!!!!!!!",2/7/14,0
103892,Didn't work for my Carrier,David,R24LUYZCCB7X4B,Claimed to be an worldwide unlocked phone.Not for Verizon. Also the water damage stickers were completely white on both the battery and the phone.,2/4/14,0
180125,not the 4s looks like it,jasmine lovelace,R1I0TLVKN0B8I9,the phone was OK it looks like the 4 s but its notthe phone had speaker problemsit was ok for the price,2/24/14,0
166928,IT DONT WORK WITH WALMART MOBILE,EDWARD,R18TFYCWLJ5TM2,"OPEN THE BOX I WAS SO EXCITED, THAT ENDED QUICK!!, ADD SAY THAT PHONE IS SUPPOSE TO WORK WITH T-MOBILE, (((NOT)))!!!!!",2/12/14,0
173795,"Good phone, bad service from the seller",Rodolfo Hurtado,R3SFCS6Q3IIAV1,"The cell phone is great for the price I would totally recommend, the only thing was that swindled me since the phone came with no charger, now I have to buy one",2/6/14,0
136135,it's different model,park tae jong,R2RN9QTRRU60H0,display model is 100-3 versionbut i'm received another modelit's 100-2 version !!omg!!!!!what happen???i want to refund money inclued shipcost,2/25/14,0
117729,ITS NOT NEW! FAKE SALE...,Hector Baptista,R1UDKLHMLJX6HQ,"ENGLISH: Phone reconstructed, I GOT THIS PHONE FROM OAKLAND WIRELESS.this IS NOT A BRAND NEW CELL PHONE!!! when I opened the box what do i see? a cell phone with the charger and a car adapter, I thougt so cool that i've a car adapter for no extra price, but when i continue my search what do I find? NOTHING, there's no headphones, no user guide, no paper, ANYTHING! YOU JUST PAY FOR A BOX WITH A PHONE, A CHARGER AND A CAR ADAPTOR, THAT'S IT! Don't buy this, please don't.ESPAÌÔOL: EL TELÌäFONO ES RECONSTRUIDO, NO ES NUEVO, OBTIENES UNA CAJA CON UN TELÌäFONO, UN CARGADOR DE AUTO Y UN CARGADOR, SIN AUDÌFONOS NI PAPELES QUE DEMUESTREN QUE EL TELÌäFONO ES NUEVO. NO COMPRAR!!!!!",2/17/14,0
177958,"Nice, but hot, just not what I thought it would be",Shamelia DeBoe,R2FFPFV6N1T6BS,I loved this phone when I first received but as days went by it was just to hot for me to keep holding this device to my ear. After a while the phone started shutting off during my calls the battery life sucks and it just wasn't right for me overall beautiful pics it takes.,2/14/14,0
164495,beware beware,cornell willis,R35PLSNNF5D9SC,If I could I would rate this zero. If you brought this phone get your money back now don't delay,2/18/14,0
69858,Dissapointed,guillotell83,R1FI7XGDVD8OAY,"The worst cell phone. There is an issue with the battery. After a couple of hours the battery is draining. The response was to send me 5 bucks for another battery, but I think i need a new cell phone because it is no working well. Totally disappointed",2/10/14,0
125451,NOWHERE did it say that this was  a prepaid phone,Nannette Davis,R33QUT29YSKI82,"I cannot use it and need to return it. WHat I NEED is a phone to replace one on my verizon contract, not a prepaid.",2/10/14,0
119218,It sucks,Tavo,R3QOW6XL2Q774A,"Extremely slow.Internet connection doesn't work.People can't hear me when I try to call.Secondary line doesn't work.Don't waste your money, it sucks.You can't open documents, pictures, emails, internet.",2/13/14,0
158183,cost,anthony,R3RUT40ZKCLEK,I am not writing this review because of the phone. I am writing it because of the cost. On amazon the phone is 500 dollars but if you go to a regular apple store you can get it from 99-200 dollars. It is sad for me to see that people are spending 500 even though they can spend 200 for a new one.,2/16/14,0
167364,bad,louis mekhaeil,RBXRJL20GMOKJ,I tried to work with it but it is bad no connection with any body it need some one to fix it.,2/11/14,0
128764,Outraged,candi,R3RE5DI1UWP967,"The phone is an expensive phone and after one month of usage, the phone doesn't power on. It's just ridiculous.",2/23/14,0
74562,"Arc S - Low quality phone, with Android OS",RS,RTYUQOZJOCXJ8,"The keys don't respond to the fingers properly, it is virtually impossible to key an SMS message without errors. The spelling check of the words in any language, is most times wrong and messages have to be corrected 5-6 times before they become correct. A lot of intensive keying, much more than with a normal dumb phone.The worst phone I've ever had, very low quality. It was a waste of money (more than 300 Euros, 380 USD), that could have been used in a quality product from the competition. The Android system doesn't help, as most of these problems are a combination of hardwarde and software flaws. Applications are resource intensive (lots of memory and processor hungry) and low quality in general. I bought three Xperia (two ARC S and one Xperia X) for the family and it's the same low quality and problems all over. Also due to the ARC design, the phone cannot stay flat on a table. When you press the screen it moves and doesn't stay stable (but this is not the reason why it doesn't accept the key entries. The permanent errors with the key entries happen when you hold the phone and it's stable in your hand).This review applies to both Xperia Arc S and X as I have both.Also it turns off by itself many times, suddenly and without warning. You have to keep checking all the time if the phone is on.",2/22/14,0
35205,It sucks,"Chani Reznik, .",RBSCQB6HMPU2I,It did not work well from day one it keeps on blanking out while you on a phone call and it freezes alot,2/8/14,0
119196,VERY BAD EXPERIENCE,Armando Zerpa,R16US9LYX96HEQ,THE PHONE IS VERY SLOW.NO SHOWS ON THE SCREEN THE INCOMING CALLS.SAMSUNG GIVES ME NO ANSWER TO MY PROBLEM.DO NOT RECOMMEND.,2/10/14,0
165036,PHONE IS A PICE OF DODO,linda powers,R112H906IBIYRB,THE PHONE IS A PICE OF CRAPHAD IT NOT EVEN 1 ANS 1/2 MONTH AND IT HAS NO SOUNDGET STUCK ON A PAGE AND WANT MOVE.A TOTAL PICE OF S***,2/18/14,0
184065,very nice,Gricel,RXDY8HBF77ZIT,"good service delivery, but the product is a scam because the battery does not help, is very small for the cell, besides that much gasket. I do not recommend this purchase",2/28/14,0
76718,URGENT QUESTION!,NERCY MOLINA,RZCQDEYWFYIUF,Good afternoon. I need to know if this cell is the application you can download the BBM (pin)?? because they gave him to buy and not ever knowing that detail and I wanted to know. thanks,2/10/14,0
146207,Phone was not good,IDRISSA T.,R1G07IIPXVAV0K,This phone had been returned and the purchase cancelled. The phone does not recognize  the SIM card. I returned to the company.,2/15/14,0
153313,Not pleased,amazonaddict,R2Q9H875HTTZVJ,It was not a unlocked phone. I could not use this phone on the carrier of my choice. I was not pleased with this phone wish I could return it and get my money back.,2/28/14,0
162690,"unbreakable POS, DO NOT BUY",michael,R2LCMKM9NVS9IG,"hate the entire phone, especially the part where you can throw the phone 25 ft and have it hit a wall, without a case on it, and not damage the phone at all. you have to have talent to break this, and that would be fine if it was nicer and formatted better, and every app costs even more for this than it does for apple. trying to find an idea on how to accidentally break it, just so I have an excuse to get the SIII",2/6/14,0
86641,worst telephone ever,Nad,RDTCXBCCVUIC0,"Worst telephone ever. I bought it for my dad, it used to work pretty well, after 35 days, it turned off by itself, It can't take any charge. I try to return, they don't let me too. It was a waste of money. Don't waste your money on that phone. Everytime after he receives a call, it turns off by itself. Please take my advice, don't buy this phone, please don't.",2/17/14,0
160528,Phone screen quality is bad,Nitin,R31S578FE52YIT,I got an Iphone 5s and broke its screen in just the first drop of the phone (I am extremely surprised that this happened and such is the flimsy quality of the phone). This never happened with other smartphones I have used.To my surprise none of the Apple stores do a screen replacement at the moment for 5s.Its funny that none of the support folks know that information. I had to find this the hard way out after spending several hours calling each of the stores and then the support.Its been 4 months apple launched the phone 5s and you guys tell me to shell 269$ to get a new phone. You guys will loose customers in this way. You have definitely lost me. I am not buying any apple product again. To me you guys are a rip off.,2/1/14,0
181610,worst phone I ever had,Courtney Alderman,R2KQ6IXI23NFZL,"I have had this phone for less than 2 weeks and so far I have missed several calls due to it going so slow that I cant even answer.  Programs keep messing up and give me error messages non stop.  Some apps won't open, and my contacts will not sync to the phone.  Don't waste your money NOT WORTH IT.",3/19/14,0
1566,"Motorola RAZR V3 Unlocked Phone with Camera, and Video...",RON sirron,R2O2JFHYM1VK6W,"Motorola RAZR V3 Unlocked Phone with Camera, and Video... This turned out to be a used phone,which looked new. I have used this style of phone for years and it's great for just phoning. This one broke after two weeks.",3/21/14,0
167093,This phone isn't good !!!,Steven Murphy,R1X85LU33A78VM,This phone did not meet my expectations... I have a new one now that is way better !!! I can't find anyone willing to buy the phone ..that sucks on my behalf !!!,3/6/14,0
143656,phablet a flop,mistery lee,R3SCFJ7A9LX4Y1,When I received the tablet it was a problem charging it and the piece was broke and within a week the inside piece where u charge it fell down into the phone..couldn't charge the phone anymore ..sent it back,3/21/14,0
117983,Wrong Battery,Marco Di Meo,RVV853ZSHP7ZD,I got the phone it looks good but the battery does not belong to my phone! Is there any solution?,3/14/14,0
155255,worst  phone i ever purchased,abdulkadir,R3HCQ6HFWZUUGC,"i bought this phone when it new and stopped working in 10 days , this is very bad phone i made mistake really",3/30/14,0
169607,LG Optimus Dynamic Prepaid Phone Review,Lous Sileo,R1E7BQO8QQPOXH,"Do not like this product! Sorry that I purchased it.  I find it to have a very confusing interface; not user friendly at all. Also, I don't like the fact that The Google box is always popping up, trying to get me to sign their agreement.",3/1/14,0
160822,It is not unlocked!,Amazon Customer manoelaleao,RLPEZ3YTVF817,It was not unlocked as advertised by the seller. It jad AT&T; sim card inside it and it doesnt work with other carriers. I live in Brazil and now I have to pay extra money to unlock it.,3/7/14,0
166595,The power button broke after 3 months,William,R2REKIIR6M51HR,The phone cant be turned on now. The company (BLU) is making me jump through hoops to get it fixed under warranty.,3/22/14,0
85681,Worst thing.,Chris,R1MLKBOF5UG3AW,I expected the phone to be a little more better as in flexible without being interrupted; i was highly mistaken wasted my time & money. .,3/19/14,0
130444,Unable to use,John Harris,R2EFIYGQ0RLCQH,I had to return it to seller.  Within 5 minutes after using it my ATT service was shut down because it was a stolen phone.  I would like to order another Expression,3/28/14,0
162570,Phone is not unlocked as they claim,mikefon,RT6DZIHAMIDIJ,I bought this phone thinking it was unlocked but couldn't use it abroad when I travelled and still had to try and unlock it very dissapointed,3/10/14,0
129925,Samsung GT-19082 Galaxy Grand Duos,wilhelm agena,R3NHA9UUTDC16X,It is a great phone but it is not intended for the US market for it is not registered with the local network. It is made in India and good only for other countries but not in USA.,3/8/14,0
128685,Fraud,carlos carlos,R125DDWJ2G4VZG,"This cellphone doesnt work, I bought it two weeks ago and the description says unlocked but when I gonna use in my country doesnt work, I live in nicaragua and i have bought three cellphones before and I satisfied with the purchase...Now i feel disappointedbecause this LG L3 doesnt work and I lost money",3/20/14,0
81413,not happy!,tabatha,R3P7TX9P964W7U,Bought this phone for my son. He had it for 8 days before it stopped charging! $100 out the window!!!,3/27/14,0
169608,POOR COVERAGE IN MY FL. AREA / POOR BATTERY LIFE.,Edmund E. Meyer,R66RV7OE8ZO6Q,What a surprise I was in for regarding this phone. This android phone works off Verizon towers with poor coverage in my FL area zip 34736.No bars showing poor signal in my home and only one bar outside. Battery life is extremely poor. My LG tracfone 840G worked great with 4 bars in my home and great signal indoors and worked off ATT towers. BUYER BEWARE OF THIS LGL38C ANDROID!!!!,3/9/14,0
166986,Sucks. Don't buy.,Sara Simmons,R13PVKEA5Q2UC7,"Do not buy this phone I had mine less than a week and it started shutting itself off, freezing, won't lock the screen when I press the lock button. The only good thing about it is the shipping it was faster than the time it gave. And the shipping package it came in was a plastic bag type thing not a box with package stuff to keep it secure from damage.",3/31/14,0
144826,Stopped working! Poor warranty services.,Suresh,R2UPB4OJZME1RV,"Bought this phone in November 2013 from Amazon.After 3 months stopped working. Contacted customer care. Sent the phone to customer care and delivered on February 26, 2014.As of today I have not received my phone and still company says they will send as soon as possible.Its very frustrating and waste of money as I end up paying phone bills without using the phone. Try other alternatives like Moto G which works reliably and good customer support.",3/25/14,0
121743,IT is not internationally unlock as discribe,Jua,R25RT8R2U4J6Z0,i receive my phone and unlike the details of the phone my chip form St. Vincent don't work. i am  disappointed i fell like returning phone would never recommend this seller to anyone,3/15/14,0
105577,Could not activate this flip phone.  fraudulant code number inside.,kathryn l.,R35ZKVAJDJHR43,"When my phone arrived and I went to activate it, Verizon told me that they were unable to do so.  The code number that's behind the battery did not match the type of phone that it was. They said it was a smart phone, not a flip phone.  The code that was on a sticker attached to the  box that it came in(not the origional box) was a code that did in fact match my phone type....BUT it was currently in use across the country in California somewhere.  Unfortunately there doesn't seem to be a way for me to contact this seller as with most other purchases I've made thru Amazon...so how do I know it won't happen again?  NOT happy.  That said, I would have liked to try this phone.  It has a nice hearty feel to it.  Seems tough.  Easy keypad.  Too bad.",3/21/14,0
96079,Wrong Battery,Toniann,RQY1K4SY0PL0G,"I ordered 3 of these phones for my aunt in Trinidad and when they arrived early I was happy. Everything was packaged and sealed neatly and nothing looked like it was missing. However, when I went to put the battery in one of the phones, it was half the size of the actual battery compartment of the phone. Upon looking at the other two phones, it turns out that non of them had the right battery!!!! When I called I was told they can't replace the battery and I had to either send it back or keep it. I sent that back and got ALL of my money returned!",3/27/14,0
180120,Do NOT BUY,Morissa,RE424BPPGBSZL,"Do not buy phone is aweful i brought two and gave my friend one as a gift and he gave it back while stating that he would rather use his old android 2.3 OS phone. Phone freezes constantly, does not respond to button pushing. only 256 MD internal memory and even tough you can install a SD chip most apps still need to function in part off of you internal memory. biggest waste of 200 dollars in my life. I should have read and listened to all of the other crap reviews about this product. DO NOT BUY.",3/20/14,0
165001,bad idea,Yolanda Wilson,R2OYC5D065FNMU,"Low volume, not holding charge. To much complaints about this phone. it was just a waist of money to get for my family.",3/28/14,0
72762,It's probably the seller's fault for selling me a piece of crap defective USED phone,MBS,RJ3PABXD46CNX,"It Freezes up, works sporadically, total fail.  Sorry I bought it.  A new one might have worked better, admittedly.  Fail.",3/9/14,0
143371,:{ phone quit working after month and a half,dawn vanhorn,R34V7IFG2WJ2LX,only had for month and half and wont turn on nothing.only has 30 day warranty :{ very disappointed.had issues from get go.......,3/6/14,0
