seq   loan_status loan_amnt grade home_ownership annual_inc age emp_cat  ir_cat
26042           1      8000     B            OWN   24996.00  23    0-15 11-13.5
21266           1      6000     D       MORTGAGE   34000.00  25    0-15   13.5+
20853           1      5550     B           RENT   31000.00  22    0-15 11-13.5
27636           1     16000     E       MORTGAGE   58200.00  37    0-15   13.5+
23979           1     18000     E       MORTGAGE   74900.00  28    0-15   13.5+
29043           1      2500     D       MORTGAGE   32000.00  23    0-15 11-13.5
25375           1     12000     B       MORTGAGE   57000.00  24   15-30 Missing
421             1      3000     A       MORTGAGE   65000.00  27    0-15     0-8
26330           1      4500     A           RENT   38000.00  22    0-15    8-11
20674           1     12000     C       MORTGAGE   60000.00  25 Missing 11-13.5
28823           1      9000     B       MORTGAGE  112000.00  25    0-15    8-11
27216           1     15000     D       MORTGAGE   65004.00  43    0-15 Missing
5381            1     35000     B           RENT   82000.00  65    0-15    8-11
15461           1      5000     B           RENT   39996.00  21    0-15    8-11
24232           1     20000     B       MORTGAGE   95000.00  23    0-15 11-13.5
28956           1     10000     B       MORTGAGE  275000.00  26    0-15 Missing
26342           1     10000     D           RENT   45000.00  24    0-15   13.5+
27988           1      5000     C       MORTGAGE   42000.00  26    0-15 11-13.5
9375            1      8000     D           RENT   25000.00  33   15-30 Missing
4097            1     25000     C       MORTGAGE  108000.00  31    0-15 Missing
17534           1      6000     A           RENT   50000.00  40    0-15 Missing
3916            1      8875     A       MORTGAGE   58044.00  29    0-15     0-8
12429           1      5000     B       MORTGAGE   51000.00  23    0-15    8-11
28912           1     10000     B           RENT   72500.00  26    0-15    8-11
27552           1      2400     E       MORTGAGE   41760.00  21    0-15 Missing
15086           1     22500     A       MORTGAGE   50000.00  26    0-15 Missing
12396           1     13000     B       MORTGAGE   31000.00  32    0-15 Missing
6115            1      4500     B           RENT   66000.00  25    0-15    8-11
28415           1     11225     D       MORTGAGE   31356.00  22    0-15 Missing
23774           1      6000     B       MORTGAGE   34980.00  25    0-15 11-13.5
28562           1     10000     D       MORTGAGE   58000.00  22    0-15   13.5+
21751           1     16000     C           RENT   50000.00  28    0-15 11-13.5
2002            1     10000     C       MORTGAGE   80000.00  34    0-15   13.5+
21757           1     10000     C           RENT   83976.00  27    0-15   13.5+
559             1     18000     C            OWN   66000.00  26    0-15 11-13.5
28109           1      7500     B          OTHER   35000.00  22    0-15    8-11
10865           1      6500     C       MORTGAGE   55200.00  22    0-15 11-13.5
18605           1     10000     A           RENT   30720.00  26    0-15     0-8
6151            1     14000     B       MORTGAGE   90000.00  23    0-15 Missing
24375           1     15350     B           RENT   54288.00  22    0-15 11-13.5
16883           1      5000     B           RENT   96000.00  28    0-15 11-13.5
23469           1      1000     A           RENT   75000.00  30    0-15    8-11
5630            1      3000     B           RENT   42000.00  22    0-15 11-13.5
20639           1     16000     C           RENT   80000.00  29    0-15 11-13.5
866             1      8000     A            OWN   42240.00  25    0-15     0-8
24209           1      9000     B       MORTGAGE  145000.00  26    0-15 11-13.5
6100            1      3000     D           RENT   60000.00  40    0-15   13.5+
19335           1      4000     C       MORTGAGE   25200.00  22    0-15 11-13.5
4863            1     20000     D           RENT   53000.00  22    0-15   13.5+
23146           1     14100     C           RENT   52000.00  22    0-15   13.5+
4552            1      2500     C       MORTGAGE  104085.00  25    0-15   13.5+
25863           1     10000     C           RENT   33996.00  25    0-15 11-13.5
21172           1     12000     C           RENT   52800.00  25    0-15 11-13.5
2835            1     12600     B            OWN   38000.00  30   15-30 Missing
27175           1     10000     B       MORTGAGE  140000.00  25    0-15 11-13.5
5245            1      9500     D       MORTGAGE   28000.00  23    0-15   13.5+
7330            1      1700     B           RENT   50000.00  37    0-15    8-11
16763           1      7200     A       MORTGAGE   34000.00  21    0-15     0-8
28797           1     21000     D       MORTGAGE   48000.00  31    0-15 11-13.5
13198           1      9000     A       MORTGAGE   86400.00  23    0-15     0-8
19144           1     25000     C            OWN   93000.00  23    0-15 11-13.5
20598           1     24000     B       MORTGAGE   90000.00  28    0-15    8-11
23127           1     16000     D           RENT   70000.00  20    0-15   13.5+
11433           1      2800     C           RENT   50000.00  24    0-15   13.5+
1699            1     12800     B           RENT   38000.00  24    0-15 11-13.5
11047           1     10000     C       MORTGAGE   30000.00  35    0-15 11-13.5
5694            1      5000     C           RENT   24996.00  31    0-15 11-13.5
25437           1      9000     E       MORTGAGE  237000.00  28    0-15   13.5+
8821            1     35000     C       MORTGAGE  120000.00  31    0-15 11-13.5
5874            1      1000     C       MORTGAGE  100000.00  23 Missing 11-13.5
21790           1      9800     C           RENT   33000.00  22 Missing Missing
17775           1     25000     F       MORTGAGE   61365.00  23    0-15   13.5+
13635           1      3000     A       MORTGAGE   18000.00  47 Missing     0-8
19820           1     25000     B       MORTGAGE  132000.00  25    0-15    8-11
4845            1     25000     C       MORTGAGE   73476.00  23    0-15 11-13.5
5832            1      1550     A       MORTGAGE   26400.00  22 Missing Missing
399             1      1700     A       MORTGAGE   37800.00  34 Missing Missing
24430           1      6200     G           RENT   19200.00  23    0-15   13.5+
19230           1     10000     E       MORTGAGE   26000.00  23    0-15 Missing
20013           1     25000     B       MORTGAGE   82000.00  32    0-15 11-13.5
1541            1      7200     C       MORTGAGE  114000.00  34    0-15 11-13.5
4405            1      2100     B           RENT  105000.00  24    0-15    8-11
14101           1     22000     B       MORTGAGE   72500.00  23    0-15    8-11
14039           1      7000     C           RENT   67350.00  28   15-30 11-13.5
26887           1      9000     D           RENT   54000.00  25    0-15   13.5+
8963            1      3625     B           RENT   58000.00  23    0-15    8-11
20322           1     11000     C           RENT   42000.00  23    0-15 11-13.5
11269           1      7000     D           RENT   41520.00  27    0-15   13.5+
7075            1      6000     B           RENT   63000.00  31   15-30 Missing
24102           1     22750     D       MORTGAGE   60000.00  22    0-15 Missing
28190           1     20000     C       MORTGAGE   96000.00  27    0-15 11-13.5
27808           1      7500     C           RENT   72000.00  28    0-15 11-13.5
22000           1     10000     C       MORTGAGE   36000.00  24 Missing   13.5+
21070           1     22000     B       MORTGAGE   45000.00  31    0-15 11-13.5
5085            1      9750     C       MORTGAGE   82248.00  25    0-15   13.5+
19924           1      1450     B       MORTGAGE   35000.00  24   15-30 Missing
25835           1     20000     B           RENT   98652.00  28    0-15 11-13.5
25420           1     25000     E           RENT  118000.00  32    0-15   13.5+
28361           1      9000     C       MORTGAGE   68000.00  23    0-15 11-13.5
27376           1     20000     B       MORTGAGE  163900.00  26    0-15 11-13.5
9577            1      6100     C       MORTGAGE   72000.00  38    0-15   13.5+
26681           1     20000     C       MORTGAGE  184000.00  24    0-15 11-13.5
13534           1      8000     B           RENT   36000.00  22    0-15 11-13.5
13893           1     14000     A       MORTGAGE   75000.00  26    0-15     0-8
26357           1     15000     C       MORTGAGE  121900.00  29    0-15 11-13.5
8946            1      5000     C           RENT   30000.00  23 Missing 11-13.5
865             1     16000     C       MORTGAGE   70000.00  24    0-15   13.5+
2763            1     25000     D       MORTGAGE   90000.00  22   15-30   13.5+
27019           1      7000     C           RENT   33996.00  24    0-15 11-13.5
24365           1     20000     C           RENT   69000.00  30    0-15   13.5+
27578           1      8000     B       MORTGAGE   80000.00  27    0-15 11-13.5
3813            1      8400     C       MORTGAGE  100000.00  23    0-15   13.5+
8009            1      6000     D       MORTGAGE   56160.00  24    0-15   13.5+
17508           1      2500     C       MORTGAGE   67200.00  24   15-30 Missing
23203           1      6000     A            OWN   50000.00  22    0-15    8-11
1972            1      7500     A           RENT   60000.00  36    0-15 Missing
4325            1      5000     B           RENT   30000.00  31    0-15    8-11
23884           1     25000     B       MORTGAGE  117000.00  22    0-15 11-13.5
17841           1     12000     A       MORTGAGE   30000.00  33    0-15     0-8
18298           1      6000     C           RENT   72000.00  31    0-15   13.5+
14067           1      6000     B       MORTGAGE   53000.00  28    0-15    8-11
3943            1      2500     D           RENT   42000.00  24    0-15   13.5+
16408           1      6000     A           RENT   35000.00  23    0-15     0-8
20210           1      7200     D       MORTGAGE   30000.00  39    0-15   13.5+
27954           1      1500     B           RENT   35000.00  50    0-15    8-11
1027            1      5500     A           RENT   36500.00  21    0-15     0-8
20480           1      2200     C           RENT   15000.00  29 Missing 11-13.5
2950            1      7000     A           RENT   43200.00  22    0-15     0-8
6232            1      2500     A           RENT   32004.00  42    0-15     0-8
8574            1      6575     C           RENT   36000.00  27    0-15 11-13.5
28609           1     20050     B           RENT   26000.00  26    0-15    8-11
4059            1      3000     A       MORTGAGE   87000.00  28    0-15     0-8
6748            1      5000     A       MORTGAGE   52500.00  23    0-15     0-8
26465           1     10000     D       MORTGAGE  160000.00  36    0-15   13.5+
23920           1     24250     D           RENT  104000.00  39   15-30   13.5+
6327            1      4000     D       MORTGAGE   49000.00  24    0-15   13.5+
3805            1     12000     B       MORTGAGE   32000.00  28    0-15 11-13.5
17265           1     22000     F       MORTGAGE   93600.00  25    0-15   13.5+
23863           1     10000     D       MORTGAGE   60000.00  22    0-15   13.5+
20395           1      7750     C           RENT   24000.00  29 Missing   13.5+
14022           1      7300     B       MORTGAGE   65000.00  23    0-15    8-11
83              1     10000     D           RENT   75000.00  24    0-15   13.5+
17072           1      3000     C           RENT   45000.00  26    0-15 Missing
12970           1      6200     G       MORTGAGE   62900.00  36   15-30 Missing
2251            1     14000     B       MORTGAGE   90000.00  26   15-30    8-11
7412            1      1625     D       MORTGAGE   21120.00  22    0-15   13.5+
10151           1      7600     A           RENT   18000.00  28    0-15    8-11
6946            1      3000     B           RENT   20000.00  30    0-15 11-13.5
6576            1      3500     A           RENT   26400.00  21    0-15    8-11
27233           1      9000     D           RENT   95000.00  24    0-15   13.5+
26014           1      6000     D       MORTGAGE   40000.00  33    0-15   13.5+
28026           1      7500     C       MORTGAGE   60000.00  23    0-15 11-13.5
17042           1      2000     B            OWN   12000.00  28 Missing    8-11
27354           1     10000     D       MORTGAGE   51000.00  30    0-15   13.5+
14767           1      9700     B           RENT   56400.00  27    0-15    8-11
19840           1      5000     C           RENT   51000.00  30    0-15 11-13.5
10793           1      2000     A           RENT   45000.00  25    0-15     0-8
9754            1     12325     A       MORTGAGE  140000.00  34    0-15    8-11
4995            1      7000     D           RENT  120000.00  32    0-15   13.5+
8996            1      2500     C           RENT   19464.00  24 Missing   13.5+
27733           1     25000     D       MORTGAGE  160000.00  35   15-30   13.5+
14941           1      9000     C            OWN   46800.00  23   15-30 Missing
6658            1      4000     B           RENT   42000.00  23    0-15    8-11
2574            1      2000     B           RENT   21600.00  21    0-15 11-13.5
3922            1      5000     A           RENT   41000.00  28    0-15    8-11
27225           1      3000     A           RENT   54000.00  25    0-15    8-11
15319           1     14500     C           RENT   88113.63  28 Missing 11-13.5
13476           1     14000     C           RENT   65000.00  38    0-15   13.5+
4187            1      7200     B           RENT   30000.00  31    0-15 Missing
12188           1     12000     C           RENT   75000.00  23    0-15 11-13.5
7721            1      4500     C           RENT   47000.00  21    0-15 11-13.5
19603           1      7000     D           RENT   23400.00  27    0-15   13.5+
22523           1     10000     B       MORTGAGE   18000.00  24    0-15 11-13.5
2458            1      8000     B       MORTGAGE   40000.00  28    0-15 11-13.5
16861           1     12000     B       MORTGAGE  128899.92  27    0-15    8-11
22468           1     19000     A           RENT   54000.00  22    0-15 Missing
20802           1      9600     C           RENT   37800.00  23    0-15 11-13.5
7276            1      8275     D       MORTGAGE  155000.00  28    0-15   13.5+
11689           1      5000     C           RENT   42000.00  22    0-15 11-13.5
15295           1     20000     B           RENT   60000.00  25    0-15    8-11
6945            1      3250     A       MORTGAGE   45292.80  23    0-15 Missing
5677            1      7200     A            OWN   25000.00  23    0-15    8-11
22011           1     18000     C           RENT   54500.00  45    0-15   13.5+
2551            1     20000     B           RENT   43000.00  45    0-15 11-13.5
26473           1      7750     B       MORTGAGE   41700.00  28    0-15 11-13.5
20715           1     18000     E           RENT   45000.00  25    0-15   13.5+
28709           1     11200     C       MORTGAGE   80000.00  22   15-30 Missing
19542           1     17000     B           RENT   59000.00  23    0-15    8-11
2700            1     15000     B           RENT   36021.96  22    0-15 Missing
21988           1      6400     C            OWN   40000.00  22    0-15   13.5+
19450           1      1500     C           RENT   25140.00  39    0-15   13.5+
15678           1     10000     C           RENT   44469.00  35    0-15 11-13.5
3545            1      2600     A       MORTGAGE   43000.00  22    0-15 Missing
27240           1     10000     A           RENT   70000.00  23   15-30 Missing
9025            1     10000     B           RENT   35000.00  36    0-15 Missing
16230           1      4500     E           RENT   21000.00  25    0-15   13.5+
23834           1     10000     D       MORTGAGE   40000.00  24    0-15   13.5+
11718           1      1375     B       MORTGAGE   24000.00  23    0-15 11-13.5
26770           1      1000     A       MORTGAGE   36000.00  23    0-15    8-11
10483           1      5000     B       MORTGAGE   65000.00  21    0-15    8-11
4638            1      7600     D       MORTGAGE   48000.00  28 Missing   13.5+
7363            1      7000     C       MORTGAGE   50000.00  33    0-15 11-13.5
6491            1      4500     C           RENT   45000.00  28    0-15 11-13.5
18843           1      5600     B           RENT   72000.00  23    0-15 11-13.5
22803           1      5100     C       MORTGAGE   70000.00  31    0-15 11-13.5
12403           1     12000     A       MORTGAGE  125000.00  26    0-15     0-8
9608            1     20000     C           RENT   75000.00  35    0-15 11-13.5
13882           1      4000     C           RENT   15996.00  22    0-15 11-13.5
2288            1      7000     C           RENT   40000.00  28    0-15 11-13.5
10680           1     35000     G            OWN   80000.00  24    0-15   13.5+
20111           1      6000     B           RENT   28800.00  21    0-15    8-11
4637            1      4800     B       MORTGAGE   36000.00  23    0-15    8-11
18625           1      5275     C           RENT   15600.00  29    0-15   13.5+
15673           1      5000     A           RENT   60000.00  22    0-15     0-8
4911            1     16450     B            OWN   38400.00  33    0-15    8-11
21681           1      8000     D       MORTGAGE   52800.00  27 Missing   13.5+
20517           1      2850     C       MORTGAGE   48000.00  27    0-15 11-13.5
28619           1      6000     C           RENT   58800.00  22    0-15 11-13.5
513             1     12000     B           RENT   60000.00  23    0-15 11-13.5
6465            1     10000     D       MORTGAGE   36000.00  24    0-15   13.5+
29042           1     15450     C       MORTGAGE   40000.00  25    0-15 11-13.5
11744           1      3000     C           RENT   55000.00  25    0-15 11-13.5
25134           1     10000     B           RENT   92004.00  30    0-15 11-13.5
9662            1      4500     C           RENT   17600.00  25 Missing   13.5+
20260           1      8000     B           RENT   45000.00  23    0-15 11-13.5
18691           1     15000     B           RENT   48564.00  30    0-15    8-11
9306            1     14000     D           RENT   45000.00  25    0-15   13.5+
22453           1      3500     B           RENT   90000.00  24    0-15 11-13.5
28960           1      8275     C       MORTGAGE  109000.00  27    0-15    8-11
17386           1      2100     D           RENT   14400.00  33    0-15   13.5+
27243           1      9000     A       MORTGAGE  110000.00  22    0-15    8-11
1377            1      6400     D           RENT   55200.00  24    0-15 Missing
13356           1      7000     A       MORTGAGE  250000.00  24    0-15     0-8
11242           1      2800     C       MORTGAGE   41496.00  34    0-15   13.5+
11576           1      5425     D            OWN  150000.00  30    0-15 Missing
21635           1      4000     C           RENT   48000.00  24    0-15 11-13.5
12050           1     12000     A       MORTGAGE   55635.00  23    0-15     0-8
8309            1     18000     C       MORTGAGE   70000.00  28   15-30 11-13.5
1071            1      4000     A           RENT   47000.00  22    0-15     0-8
13485           1      5000     D           RENT   36000.00  22    0-15   13.5+
28175           1     10000     B       MORTGAGE   34000.00  53    0-15    8-11
25584           1      9250     A       MORTGAGE   45896.00  25    0-15    8-11
15009           1      5000     C       MORTGAGE  128000.00  26    0-15 Missing
579             1     13000     E           RENT   42000.00  31    0-15   13.5+
16213           1      1800     C           RENT   29040.00  27    0-15 11-13.5
21054           1     15000     B           RENT   75000.00  33    0-15    8-11
14391           1     15000     B           RENT   87000.00  32    0-15    8-11
12912           1     10750     B            OWN   49200.00  26    0-15 11-13.5
10200           1      8400     B       MORTGAGE   28000.00  23    0-15    8-11
21539           1      5600     D           RENT   45000.00  22    0-15   13.5+
22735           1      1500     C       MORTGAGE   54000.00  36    0-15   13.5+
21398           1      9250     C           RENT   19200.00  28    0-15   13.5+
24085           1     25000     D       MORTGAGE  153000.00  41    0-15   13.5+
9911            1      6400     A           RENT   32000.00  43    0-15     0-8
9144            1     21000     B       MORTGAGE  175000.00  27   30-45 Missing
25219           1     16750     G           RENT   60000.00  24    0-15   13.5+
28292           1     13200     D       MORTGAGE   75000.00  40   15-30 11-13.5
21565           1      5800     C       MORTGAGE   40000.00  25    0-15 11-13.5
9615            1      8000     A       MORTGAGE   96000.00  29    0-15    8-11
16123           1      6000     A       MORTGAGE   35000.00  23    0-15     0-8
10395           1      7500     D       MORTGAGE   85000.00  34    0-15   13.5+
11420           1     15000     B           RENT   50000.00  22    0-15 11-13.5
25755           1      9200     C           RENT   50004.00  37    0-15 11-13.5
28419           1      7200     B           RENT   45000.00  22    0-15    8-11
19605           1      4500     B           RENT   39000.00  24    0-15    8-11
6986            1      4325     A           RENT   48000.00  23    0-15     0-8
11182           1      5000     B           RENT   38000.00  23    0-15 Missing
16492           1      5000     D           RENT   24996.00  21    0-15 Missing
27982           1      7500     C           RENT   68844.00  23    0-15 11-13.5
27720           1      5000     C       MORTGAGE   47000.00  25   30-45 11-13.5
19257           1      5000     C           RENT   40000.00  22    0-15 11-13.5
27284           1      2000     A           RENT   50000.00  24    0-15     0-8
5264            1     19000     A       MORTGAGE   48000.00  24 Missing     0-8
16241           1     14000     C            OWN   45500.00  23    0-15   13.5+
9169            1      1300     A           RENT   50000.00  26   15-30     0-8
22754           1      5000     F            OWN   30288.24  22    0-15   13.5+
25564           1     20000     B       MORTGAGE   60600.00  28    0-15 11-13.5
13049           1      7000     A            OWN   46932.00  23 Missing     0-8
10585           1     10000     E           RENT   75000.00  24    0-15   13.5+
23616           1      6000     D           RENT   30000.00  26    0-15 Missing
1772            1      5000     C           RENT   41000.00  22    0-15   13.5+
24227           1      4500     B           RENT   60000.00  23   15-30 Missing
19295           1      3000     C           RENT   36132.00  38 Missing   13.5+
11427           1      1500     C       MORTGAGE   80000.00  31    0-15 11-13.5
15848           1      7000     B           RENT   30000.00  22    0-15    8-11
369             1      2200     C            OWN   48000.00  24    0-15   13.5+
3102            1     30000     D       MORTGAGE   75000.00  28    0-15 Missing
22247           1     15200     C           RENT   43000.00  42    0-15   13.5+
18833           1      6000     D       MORTGAGE   65827.00  47    0-15   13.5+
10159           1     13000     B           RENT   60000.00  22    0-15    8-11
19353           1      5000     C           RENT   66000.00  29    0-15   13.5+
2708            1      3800     A       MORTGAGE   47000.00  29    0-15     0-8
28481           1     25000     B       MORTGAGE   52000.00  31    0-15    8-11
12894           1     18000     F       MORTGAGE   95000.00  31    0-15   13.5+
6764            1      7500     A       MORTGAGE   60000.00  29    0-15     0-8
28584           1     15000     C           RENT   36000.00  22    0-15 11-13.5
5665            1      1500     C           RENT   14400.00  25    0-15 11-13.5
7670            1      5775     A       MORTGAGE   35554.00  22 Missing     0-8
5583            1     10175     C           RENT  158000.00  27    0-15 11-13.5
7701            1      7000     D            OWN  144000.00  28    0-15   13.5+
26529           1      8500     C       MORTGAGE   75000.00  30    0-15 Missing
4088            1      5000     D           RENT   36000.00  22    0-15   13.5+
9524            1      6775     B       MORTGAGE   84000.00  27    0-15    8-11
24215           1     15000     B       MORTGAGE  182496.00  27    0-15 11-13.5
26203           1     10000     C       MORTGAGE   36000.00  23   15-30   13.5+
27608           1      7000     E       MORTGAGE   48500.00  22    0-15   13.5+
13947           1      5000     C           RENT   28000.00  23    0-15   13.5+
4051            1      9000     C           RENT  115000.00  33    0-15   13.5+
6092            1     10000     C           RENT   84996.00  23    0-15   13.5+
24070           1      1750     A           RENT    9600.00  21    0-15    8-11
19664           1      4975     A           RENT   34000.00  22    0-15     0-8
26818           1     20000     C           RENT   76000.00  26    0-15 11-13.5
22740           1     20000     D           RENT   52000.00  22    0-15   13.5+
3187            1      9400     A           RENT   33000.00  41    0-15    8-11
25108           1     10875     C           RENT   41500.00  22    0-15 11-13.5
28630           1     10100     D           RENT   29136.00  26    0-15   13.5+
5355            1      3550     B           RENT   10200.00  40 Missing 11-13.5
27938           1      6000     B       MORTGAGE   60996.00  40    0-15    8-11
22403           1      3250     C           RENT   20400.00  22    0-15   13.5+
3778            1      6000     C           RENT   48996.00  29    0-15   13.5+
19399           1     23500     B           RENT   51600.00  34 Missing 11-13.5
21363           1      2500     D           RENT   10000.00  23    0-15   13.5+
3381            1     11500     A       MORTGAGE   27600.00  25    0-15     0-8
8949            1      2800     A       MORTGAGE   15204.00  23 Missing    8-11
14894           1      1500     B       MORTGAGE   63000.00  36    0-15    8-11
11943           1      4000     A           RENT   45600.00  26    0-15     0-8
23256           1     12000     B           RENT   45000.00  44    0-15 11-13.5
8242            1      5000     A           RENT   12000.00  27    0-15    8-11
20104           1      5000     D       MORTGAGE   19200.00  22    0-15   13.5+
4833            1      5000     A           RENT   15000.00  31 Missing Missing
22491           1     25000     E           RENT   48360.00  25    0-15   13.5+
9667            1     10000     D       MORTGAGE   56000.00  33    0-15   13.5+
23809           1      9250     A           RENT   24000.00  22    0-15    8-11
4691            1      4050     A       MORTGAGE   75000.00  31   15-30     0-8
16666           1     24000     B       MORTGAGE  160000.00  61   15-30    8-11
26746           1     18000     E           RENT   49400.00  24    0-15   13.5+
15851           1      1000     E           RENT   14400.00  22    0-15   13.5+
7380            1      4200     B           RENT   69000.00  27    0-15 11-13.5
27495           1      9000     C       MORTGAGE   90000.00  25    0-15 11-13.5
20248           1      7000     C           RENT   58000.00  23    0-15   13.5+
10012           1      6000     A       MORTGAGE   70000.00  22    0-15 Missing
1522            1      8000     A           RENT   42000.00  23    0-15     0-8
11733           1     15000     D       MORTGAGE   75000.00  25    0-15   13.5+
12185           1      4800     B       MORTGAGE   55980.00  23   15-30    8-11
3442            1      5600     C           RENT   40000.00  27    0-15   13.5+
2320            1     15000     B           RENT   44400.00  25    0-15    8-11
8363            1     17725     B           RENT   38220.00  27    0-15 11-13.5
783             1     10000     C           RENT   42000.00  22    0-15   13.5+
9942            1      8000     C           RENT   45000.00  24    0-15 Missing
22483           1      6400     D           RENT   47000.00  32    0-15   13.5+
24787           1     20000     C           RENT  108901.00  25    0-15 Missing
24126           1      5000     D           RENT   24996.00  22    0-15 Missing
18601           1      9800     B       MORTGAGE   65000.00  26 Missing 11-13.5
3394            1      6000     A            OWN   69600.00  45    0-15     0-8
7616            1      4800     E           RENT   45000.00  23    0-15   13.5+
24172           1     25000     F       MORTGAGE   70000.00  40   15-30   13.5+
8145            1     29100     C       MORTGAGE   52000.00  24    0-15 11-13.5
16397           1      8000     D            OWN   38400.00  33    0-15   13.5+
5096            1      7200     B           RENT   14400.00  22    0-15 11-13.5
24319           1     25000     D       MORTGAGE  101000.00  24    0-15   13.5+
4375            1      5600     B       MORTGAGE   39000.00  29    0-15 11-13.5
11206           1      1900     A           RENT   26500.00  22    0-15     0-8
2522            1      7475     A            OWN   53000.00  28    0-15     0-8
9857            1     30000     D       MORTGAGE  125000.00  30    0-15   13.5+
27803           1      5000     C       MORTGAGE   55000.00  22    0-15 11-13.5
26387           1     15000     E       MORTGAGE   50000.00  21    0-15   13.5+
15919           1      3000     C           RENT   56000.04  24    0-15 Missing
20336           1     25000     B       MORTGAGE   70000.00  31    0-15    8-11
852             1      7175     A           RENT   60000.00  37    0-15     0-8
28882           1     25000     E       MORTGAGE   80000.00  22    0-15   13.5+
6550            1     12800     A       MORTGAGE   56000.00  25    0-15     0-8
27685           1      6500     C       MORTGAGE   91200.00  24   15-30 11-13.5
28410           1     10000     C           RENT   25368.00  29    0-15 11-13.5
11866           1      3600     A           RENT   30000.00  34    0-15     0-8
6982            1     12000     B           RENT   32500.00  22    0-15 11-13.5
21682           1     10000     B       MORTGAGE   70000.00  30 Missing    8-11
11244           1      5000     C            OWN   30000.00  33    0-15 11-13.5
19237           1      7750     C       MORTGAGE  104000.00  28    0-15   13.5+
5523            1     13000     D           RENT  120000.00  26    0-15   13.5+
13132           1      2000     D           RENT   43200.00  24    0-15 Missing
15731           1      2000     C       MORTGAGE   79000.00  22    0-15 11-13.5
22189           1     21000     B           RENT   53580.00  33    0-15 Missing
6637            1     12000     C       MORTGAGE   88000.00  24    0-15 Missing
2193            1      1200     C       MORTGAGE   90216.00  23    0-15 Missing
15742           1      4000     D           RENT  105000.00  27   15-30   13.5+
13340           1     10750     C           RENT   30067.20  21    0-15 11-13.5
5247            1     18000     C           RENT  132725.38  27    0-15   13.5+
21034           1     18000     C       MORTGAGE   98000.00  22    0-15 11-13.5
23257           1      8950     C           RENT   39000.00  23    0-15 11-13.5
5448            1      7000     A           RENT   55000.00  24    0-15     0-8
28704           1     23000     D           RENT   95000.00  40    0-15 11-13.5
8241            1      1000     B           RENT   36000.00  30    0-15 Missing
6394            1      8400     D       MORTGAGE  120000.00  32    0-15   13.5+
25660           1     14500     B           RENT   37000.00  22    0-15 11-13.5
7256            1      6000     A       MORTGAGE   27012.00  45   15-30     0-8
22853           1     18000     B           RENT   65000.00  27    0-15 11-13.5
3046            1      2800     B           RENT   64800.00  27    0-15 11-13.5
27370           1     10000     B       MORTGAGE   66000.00  26    0-15 11-13.5
14161           1     10000     A       MORTGAGE   43200.00  60    0-15     0-8
17511           1      6000     C       MORTGAGE   60000.00  26    0-15   13.5+
9056            1     35000     B       MORTGAGE  487000.00  39    0-15 Missing
10991           1      8000     D           RENT   70000.00  25    0-15   13.5+
23247           1      8000     B       MORTGAGE   49590.00  24    0-15 11-13.5
815             1      4000     E           RENT   47000.00  28    0-15   13.5+
5410            1      5000     B           RENT   45000.00  35    0-15    8-11
12131           1     16000     D       MORTGAGE   78500.00  25    0-15   13.5+
26464           1     12000     C       MORTGAGE   25568.00  25    0-15 11-13.5
10850           1      8000     B           RENT   36500.00  36    0-15 11-13.5
16471           1      7000     D           RENT   38000.00  22    0-15 Missing
17927           1      6000     A           RENT   93000.00  26   15-30     0-8
22111           1      8000     B            OWN   36000.00  35    0-15 11-13.5
2144            1     16000     B           RENT   42494.00  24    0-15 11-13.5
11533           1      4000     A       MORTGAGE   35000.00  22    0-15     0-8
6617            1      6400     D       MORTGAGE   50000.00  22   15-30   13.5+
15947           1      7000     B       MORTGAGE   37417.00  25    0-15    8-11
27362           1     10000     D           RENT   60000.00  23    0-15   13.5+
917             1      3000     B           RENT   18000.00  23    0-15 11-13.5
4056            1      2000     B           RENT   30000.00  26    0-15 11-13.5
6662            1      6000     A           RENT   35000.00  29    0-15    8-11
17140           1      8000     D            OWN   52000.00  38    0-15   13.5+
7450            1     15000     A           RENT   95600.00  23    0-15    8-11
9090            1      9725     B            OWN   50000.00  29    0-15 11-13.5
4441            1      3000     B            OWN   50000.00  26    0-15    8-11
29001           1      9000     D       MORTGAGE   39000.00  27    0-15 11-13.5
9929            1      3000     A           RENT   30000.00  23    0-15     0-8
25345           1      4000     C       MORTGAGE   70500.00  28    0-15   13.5+
6153            1      1000     E           RENT   24000.00  24    0-15   13.5+
2802            1      5000     A       MORTGAGE   42082.00  27    0-15     0-8
816             1     15000     B           RENT   62000.00  23    0-15 11-13.5
19508           1      6000     E           RENT   60000.00  23    0-15   13.5+
21990           1     10000     E           RENT   55000.00  22    0-15   13.5+
27836           1      7500     F       MORTGAGE   50000.00  24    0-15   13.5+
15046           1      2800     C           RENT   42120.00  26    0-15 11-13.5
28957           1     15450     C           RENT  120000.00  26    0-15    8-11
10339           1      7000     D           RENT   27600.00  24    0-15   13.5+
25676           1     16000     D       MORTGAGE   50000.00  22    0-15   13.5+
24475           1     20000     E       MORTGAGE   68000.00  25    0-15   13.5+
23866           1      7000     C            OWN   60000.00  49    0-15 Missing
11265           1      9000     C           RENT   34000.00  33    0-15   13.5+
4634            1      5000     D           RENT   50400.00  23    0-15   13.5+
6259            1      1325     C           RENT   24000.00  25    0-15 11-13.5
3470            1      3600     D       MORTGAGE   23000.00  23   15-30   13.5+
